address,size,current_name,provisional_name,owner,confidence,evidence
10001000,200,FUN_10001000,,sirtech-codec-adapter,strong,"Calls jpeg_create_decompress, reads header dimensions, and reports failure through a caller-owned record"
100010f0,403,FUN_100010f0,,sirtech-codec-adapter,strong,Calls the IJG compression API over caller-owned pixels and output stream
10001290,334,FUN_10001290,,sirtech-codec-adapter,strong,Calls the IJG decompression API and copies scanlines into caller-owned storage
100013e0,97,jpeg_create_compress,jpeg_create_compress,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10001450,12,FUN_10001450,jpeg_destroy_compress|jpeg_destroy_decompress,ijg-jpeg-6,ambiguous,Source-built FID rows match identical machine bodies from multiple source symbols
10001470,78,jpeg_suppress_tables,jpeg_suppress_tables,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100014c0,258,jpeg_finish_compress,jpeg_finish_compress,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10001690,117,jpeg_start_compress,jpeg_start_compress,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10001710,196,jpeg_write_scanlines,jpeg_write_scanlines,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100018b0,187,jinit_c_coef_controller,jinit_c_coef_controller,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10001970,167,FUN_10001970,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10001a20,78,start_iMCU_row,start_iMCU_row,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10001f30,486,compress_output,compress_output,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10002120,528,jinit_color_converter,jinit_color_converter,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10002570,174,FUN_10002570,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10002790,103,FUN_10002790,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
100028b0,145,jinit_forward_dct,jinit_forward_dct,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10002eb0,282,jpeg_make_c_derived_tbl,jpeg_make_c_derived_tbl,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10002fd0,558,jpeg_gen_optimal_table,jpeg_gen_optimal_table,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003200,59,jinit_huff_encoder,jinit_huff_encoder,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003510,338,encode_one_block,encode_one_block,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003670,198,emit_bits,emit_bits,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003740,44,dump_buffer,dump_buffer,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003770,140,emit_restart,emit_restart,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003800,39,flush_bits,flush_bits,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003990,160,htest_one_block,htest_one_block,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003b40,183,jinit_compress_master,jinit_compress_master,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003c00,135,jinit_c_main_controller,jinit_c_main_controller,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003ce0,176,FUN_10003ce0,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10003d90,97,jinit_marker_writer,jinit_marker_writer,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003e00,79,FUN_10003e00,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10003e50,60,emit_byte,emit_byte,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003e90,32,emit_marker,emit_marker,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003eb0,40,emit_2bytes,emit_2bytes,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003ee0,59,FUN_10003ee0,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10003f20,151,emit_jfif_app0,emit_jfif_app0,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10003fc0,146,emit_adobe_app14,emit_adobe_app14,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10004060,246,FUN_10004060,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10004160,201,emit_dqt,emit_dqt,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10004230,184,emit_sof,emit_sof,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100043b0,191,emit_dht,emit_dht,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10004470,1,FUN_10004470,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10004480,42,emit_dri,emit_dri,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100044b0,221,emit_sos,emit_sos,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100045b0,128,FUN_100045b0,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10004630,191,jinit_c_master_control,jinit_c_master_control,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100046f0,461,initial_setup,initial_setup,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100048c0,927,validate_script,validate_script,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10004c60,433,FUN_10004c60,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10004e20,255,select_scan_parameters,select_scan_parameters,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10004f20,458,per_scan_setup,per_scan_setup,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100050f0,43,FUN_100050f0,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
100051a0,35,jpeg_abort,jpeg_abort,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100051d0,31,jpeg_destroy,jpeg_destroy,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100051f0,31,jpeg_alloc_quant_table,jpeg_alloc_quant_table,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005210,31,jpeg_alloc_huff_table,jpeg_alloc_huff_table,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005230,186,jpeg_add_quant_table,jpeg_add_quant_table,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100052f0,52,jpeg_set_linear_quality,jpeg_set_linear_quality,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005330,56,jpeg_quality_scaling,jpeg_quality_scaling,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005370,30,jpeg_set_quality,jpeg_set_quality,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005390,239,jpeg_set_defaults,jpeg_set_defaults,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005480,90,std_huff_tables,std_huff_tables,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100054e0,93,add_huff_table,add_huff_table,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005540,95,jpeg_default_colorspace,jpeg_default_colorspace,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100055c0,716,jpeg_set_colorspace,jpeg_set_colorspace,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005b30,56,jinit_phuff_encoder,jinit_phuff_encoder,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005e90,213,emit_bits,emit_bits,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005f70,60,dump_buffer,dump_buffer,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10005fb0,70,emit_symbol,emit_symbol,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10006000,165,emit_restart,emit_restart,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100060b0,28,flush_bits,flush_bits,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100060d0,95,emit_eobrun,emit_eobrun,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10006130,49,emit_buffered_bits,emit_buffered_bits,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10006330,190,FUN_10006330,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10006750,172,jinit_c_prep_controller,jinit_c_prep_controller,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100069d0,52,expand_bottom_edge,expand_bottom_edge,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10006c50,292,create_context_buffer,create_context_buffer,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10006d80,387,jinit_downsampler,jinit_downsampler,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100070e0,92,expand_right_edge,expand_right_edge,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10007140,70,FUN_10007140,,ijg-jpeg-6,candidate,Internal function inside the contiguous IJG library region; no accepted FID name
10007e00,118,jpeg_create_decompress,jpeg_create_decompress,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10007e80,12,FUN_10007e80,jpeg_destroy_compress|jpeg_destroy_decompress,ijg-jpeg-6,ambiguous,Source-built FID rows match identical machine bodies from multiple source symbols
10007f00,112,jpeg_read_header,jpeg_read_header,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10007f70,156,jpeg_consume_input,jpeg_consume_input,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10008030,410,default_decompress_parms,default_decompress_parms,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10008270,192,jpeg_finish_decompress,jpeg_finish_decompress,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10008330,228,jpeg_start_decompress,jpeg_start_decompress,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10008420,203,output_pass_setup,output_pass_setup,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
100084f0,160,jpeg_read_scanlines,jpeg_read_scanlines,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
10008590,188,FUN_10008590,jpeg_read_raw_data,ijg-jpeg-6,high,All source-built FID rows for this target agree on the same source symbol
