address,size,current_name,provisional_name,owner,confidence,fid_variants,evidence
10001000,11,FUN_10001000,setFileNotFound,infozip-unzip-5.4,high,,Exact Info-ZIP 5.4 api.c body and source-order identity; increments G.filenotfound
10001010,108,FUN_10001010,unzipToMemory,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10001080,118,FUN_10001080,redirect_outfile,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10001100,84,FUN_10001100,writeToMemory,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp5-vcpp-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10001160,83,FUN_10001160,close_redirect,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-vcpp-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100011c0,286,FUN_100011c0,crc32,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
100012e0,20,FUN_100012e0,get_crc_table,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-sp5-target-runtime-md-o2|vc6-sp6-target-runtime-md-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10001300,59,FUN_10001300,make_crc_table,infozip-unzip-5.4,high,vc6-rtm-target-runtime-md-o2|vc6-rtm-upstream-release-mt-o2|vc6-sp5-target-runtime-md-o2|vc6-sp5-upstream-release-mt-o2|vc6-sp6-target-runtime-md-o2|vc6-sp6-upstream-release-mt-o2,Every matching source-built or pinned-library FID row agrees on this symbol; build recipe remains variant-ambiguous
10001340,30,FUN_10001340,decrypt_byte,infozip-zcrypt-2.8,high,,Exact zcrypt28 crypt.c function order constants and body shape
10001360,111,FUN_10001360,update_keys,infozip-zcrypt-2.8,high,,Exact zcrypt28 crypt.c function order CRC key-update constants and body shape
