address,provisional_name,owner,confidence,evidence
00408860,PlaySound,fan-patch-oracle,strong,CFAgent pW8FUNC_PlaySound English seed address verified by embedded expected bytes
0040efa0,GetRandomNumber,fan-patch-oracle,strong,CFAgent pW8FUNC_GetRandomNumber English seed address verified by embedded expected bytes
00421680,VectorFromThreeFloats,fan-patch-oracle,strong,CFAgent pW8FUNC_3FloatsToVector English seed address verified by embedded expected bytes
0042a6f0,LoadLevel,fan-patch-oracle,strong,CFAgent pW8FUNC_LoadLevel English seed address verified by embedded expected bytes
0042b410,GetLocationIDFromCode,fan-patch-oracle,strong,CFAgent pW8FUNC_GetLocationIDFromCode English seed address verified by embedded expected bytes
0042b550,LevelGetFolderNameByID,fan-patch-oracle,strong,CFAgent pW8FUNC_LevelGetFolderNameByID English seed address verified by embedded expected bytes
0042b580,GetLoadedLevelID,fan-patch-oracle,strong,CFAgent pW8FUNC_GetLoadedLevelID English seed address verified by embedded expected bytes
0043d940,RunTrigger,fan-patch-oracle,strong,CFAgent pW8FUNC_RunTrigger English seed address verified by embedded expected bytes
00443780,FindTriggerByName,fan-patch-oracle,strong,CFAgent pW8FUNC_FindTriggerByName English seed address verified by embedded expected bytes
00443dc0,CreateLocationVar,fan-patch-oracle,strong,CFAgent pW8FUNC_CreateLocationVar English seed address verified by embedded expected bytes
00444170,GetLocationVarIDByName,fan-patch-oracle,strong,CFAgent pW8FUNC_GetLocationVarIDByName English seed address verified by embedded expected bytes
004456e0,PrintNothingHappenedOrSpecialItemRequired,fan-patch-oracle,strong,CFAgent pW8FUNC_PrintNothingHappenOrSpecItemReq English seed address verified by embedded expected bytes
00446110,Copy3DVector,fan-patch-oracle,strong,CFAgent pW8FUNC_Copy3DVector English seed address verified by embedded expected bytes
00451280,GetWorld,fan-patch-oracle,strong,CFAgent pW8FUNC_GetWorld English seed address verified by embedded expected bytes
004512c0,FindEntityByName,fan-patch-oracle,strong,CFAgent pW8FUNC_FindEntityByName English seed address verified by embedded expected bytes
0048bdc0,FindMonGenByName,fan-patch-oracle,strong,CFAgent pW8FUNC_FindMonGenByName English seed address verified by embedded expected bytes
004d8f00,SpawnMonsters,fan-patch-oracle,strong,CFAgent pW8FUNC_SpawnMonsters English seed address verified by embedded expected bytes
004d8f80,CreateAndPlaySoundNode,fan-patch-oracle,strong,CFAgent pW8FUNC_CreateAndPlaySoundNode English seed address verified by embedded expected bytes
004dcd40,TriggerArrowTrap,fan-patch-oracle,strong,CFAgent pW8FUNC_TrigFuncArrowTrap English seed address verified by embedded expected bytes
004e5550,MonsterGetIndexByLocationID,fan-patch-oracle,strong,CFAgent pW8FUNC_MonsterGetIndexByLocID English seed address verified by embedded expected bytes
004e5620,MonsterGetScriptPartByLocationIndex,fan-patch-oracle,strong,CFAgent pW8FUNC_MonsterGetScriptPartByLocIndex English seed address verified by embedded expected bytes
004e57c0,GetMonsterDataByID,fan-patch-oracle,strong,CFAgent pW8FUNC_GetMonsterDataByID English seed address verified by embedded expected bytes
004e7090,StartCombat,fan-patch-oracle,strong,CFAgent pW8FUNC_StartCombat English seed address verified by embedded expected bytes
