address,size,current_name,provisional_name,owner,confidence,name_origin,authority,aliases,evidence,source_path,source_line,relocation_masked_sha256
00404bf0,65,FUN_00404bf0,FileExists,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,226,cbd08da2dec3833f6b12429490edc274d7fb8e5f18522dff724a4453aa57cc8f
00404c40,42,FUN_00404c40,FileExistsNoDB,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,276,d209a7d538c623533663724f1273b3c9d20714a09ec0e02764826b507d89b997
00404c80,387,OpenVirtualFile,FileOpen,sgp-shared,exact,sgp-source,source-backed,OpenVirtualFile,VC6 SP5 common project profile relocation-masked body exact in every comparable build; supersedes descriptive name,sgp/FileMan.c,348,84da465de36c505b4e248cc5a29778de2b59face4571847a5b2550117596393e
00404fb0,119,FUN_00404fb0,FileWrite,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,660,d69c4fa41499b8bfe509ff53360913124ed86ff63edfc901b61b4c29d8eb6e11
00405030,146,SeekVirtualFile,FileSeek,sgp-shared,exact,sgp-source,source-backed,SeekVirtualFile,VC6 SP5 common project profile relocation-masked body exact in every comparable build; supersedes descriptive name,sgp/FileMan.c,823,8813c101ecd0b7662b0339634f568409237bff906934a6bc5e4fa72d0c47e14d
004051d0,32,FUN_004051d0,DirectoryExists,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,1309,4a827abe129ba4efe5525cd2646836985cd7935b3fbeb39abf4ada3a1baf6ac4
004051f0,14,FUN_004051f0,MakeFileManDirectory,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,1340,a9ac7e39bcf2ba6a73d7dee83bec96796908c3adf1fe42914efc946d9359a46b
00405200,102,FUN_00405200,GetExecutableDirectory,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,1486,ba8d8661477873c94ea67793d34bf64bda0e4ba4d1711e5c0b284b389d3d3471
00405270,132,FUN_00405270,GetFileFirst,sgp-shared,exact,sgp-source,source-backed,,Exact in four comparable modules; Wiz8New.exe differs by the reviewed fFindInfoInUse assignment byte,sgp/FileMan.c,1512,c1da91731b6b6114c9c9c0628da706e2943c5c22876cbf03c18a05bea757f7bf
00405300,73,FUN_00405300,GetFileNext,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,1546,3830b2e3cb13f2b7b94be63bac6f7caf226d4de495f168dbef2359ed1871f421
00405350,49,FUN_00405350,GetFileClose,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,1558,3eb85835f76b3c46cc5cbc91421eb8fc9145f18cd6d17c252b96113a5f3562f6
00405390,308,FUN_00405390,W32toSGPFileFind,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,1570,1f1dd5c5031fec3c09a464453d0e5712f660f416cd06af654b769ba606083247
004054d0,27,FUN_004054d0,FileCopy,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,1631,434180fea1926d0bceab62467833c0e466064bb2b7eab52f7356b2aeb4cf066a
004054f0,96,FUN_004054f0,FileGetAttributes,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,1743,59fd51084fc8ef0543e5cbe469d249226bad4bae4e0aaf5027f664032230c8f5
00405550,17,FUN_00405550,FileClearAttributes,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/FileMan.c,1785,951abc5a9a0c8be62c53d3540f527f046174ffc125688c3e7ab6c65d166952d3
0040ef80,19,FUN_0040ef80,InitializeRandom,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 /O2 /Ob2 /MD /G5 relocation-masked body exact in every unprotected build,sgp/Random.c,23,a83f745d7293dfba07bbb4b50919be51ef24e35b2b921f9eee41b57441b44e21
0040efa0,50,GetRandomNumber,Random,sgp-shared,exact,fan-patch-signature|sgp-source,source-backed,GetRandomNumber,VC6 SP5 /O2 /Ob2 /MD /G5 relocation-masked body exact in every unprotected build; supersedes the CFAgent name for the same verified address,sgp/Random.c,39,438ef441f48956b35998a4c1aa63c4da1d0a0fc45436883376b4a7bc849897bb
0040efe0,51,FUN_0040efe0,Chance,sgp-shared,exact,sgp-source,source-backed,,"VC6 SP5 /O2 /Ob2 /MD /G5 relocation-masked body exact in every unprotected build; Wizardry inlined Random into it, which plain /O2 does not do",sgp/Random.c,54,41dcc8ffef699be08fe27d886274ab3c8b5a0c6e761ad1719da03b0acd69ec88
0040f0b0,74,FUN_0040f0b0,DDCreateSurface,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,16,c68b6dce35f046978717604c40ce9c29e319ccb5bc7e005dfdfc3eb22d2e4137
0040f100,79,FUN_0040f100,DDLockSurface,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,83,db1e8cef0a742989a7e7cca67847e9bd9f25abdc778aaedd682a4c182c37395a
0040f150,35,FUN_0040f150,DDUnlockSurface,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,103,ad656b482a39f475838bc89a2ae5e894746382a64a60674a3df0208a24eeabea
0040f180,51,FUN_0040f180,DDGetSurfaceDescription,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,112,7774abf7cc9a57a7449d030eb0ad43af3935bd017f23544cda705d60e1e03989
0040f1c0,79,FUN_0040f1c0,DDReleaseSurface,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,206,f7fdfa1be54c8d1f5efc90f169e3b36c880c08a5de9f81459594d83ecdba514b
0040f210,30,FUN_0040f210,DDRestoreSurface,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,220,c64e2d0c6ecedae04e3303f207708517f93e4c3a69b0d7362aab90870f5c46e7
0040f230,84,FUN_0040f230,DDBltFastSurface,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,228,89e30cf07ebc8c2d74c042a22933a61bac0c2c3ee229233e2cf8cb66a0464b5b
0040f290,103,FUN_0040f290,DDBltSurface,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,244,72ea8c68ad4f30d3d1ec6fdb6feeb57661d109cc04464fb7c04d42a111adaa31
0040f300,50,FUN_0040f300,DDCreatePalette,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,262,c211c3e255219d7b457824b4da0b69b725613d5a6425f10348f1e8adbf5a7dbd
0040f340,50,FUN_0040f340,DDSetPaletteEntries,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,290,e1a99fa7fffde852d88806c64d0c2a7a8ef77c04c1e754bfdecc8b0a5ec57e52
0040f380,50,FUN_0040f380,DDGetPaletteEntries,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,300,560e5edd93a18f75a9c3027c66f7962e917aaa341bd450cc2fc542276788299c
0040f3c0,30,FUN_0040f3c0,DDReleasePalette,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,310,8f23817c93b5397f4a48e24fbaacd9545ab6aad63310bcbd9a83e395b4565072
0040f3e0,40,FUN_0040f3e0,DDSetSurfaceColorKey,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 relocation-masked body exact,sgp/DirectDraw Calls.c,336,5649fcd4b3543ee3b88f6c604050f0ddfceef50fda0456b24e0213efd7dd1bf0
00412b10,145,FUN_00412b10,ShutDownFileDatabase,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/LibraryDataBase.c,161,1c3d0960dfd2a59b7bba6bd98384557903b4912a74feac52e028791a585546e5
00413680,175,FUN_00413680,CreateRealFileHandle,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/LibraryDataBase.c,741,f4de5a0eb3d1c9f986f1db9c744fe0955834d33685aed76ca4351ea657da9e37
00413730,31,FUN_00413730,GetLibraryAndFileIDFromLibraryFileHandle,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile raw body exact in every comparable build,sgp/LibraryDataBase.c,792,86e0c4adced8ae2cb220a01ccb0a3e05476d8ac36191acfe6c752bf86267e1fc
00413d00,83,FUN_00413d00,CompareDirEntryFileNames,sgp-shared,exact,sgp-source,source-backed,,VC6 SP5 common project profile relocation-masked body exact in every comparable build,sgp/LibraryDataBase.c,1109,4ce961329ad05713672735436101c5febd58413d3687a16b406dc01480d11667
