address|name|size|type
100013e0|jpeg_create_compress|97|library
10001450|jpeg_destroy_compress|12|library
100014c0|jpeg_finish_compress|258|library
10001690|jpeg_start_compress|117|library
10001710|jpeg_write_scanlines|196|library
10005370|jpeg_set_quality|30|library
10005390|jpeg_set_defaults|239|library
10005540|jpeg_default_colorspace|95|library
10007e00|jpeg_create_decompress|118|library
10007e80|jpeg_destroy_decompress|12|library
10007f00|jpeg_read_header|112|library
10008270|jpeg_finish_decompress|192|library
10008330|jpeg_start_decompress|228|library
100084f0|jpeg_read_scanlines|160|library
10008760|jpeg_stdio_dest|61|library
10008860|jpeg_stdio_src|108|library
1000fd80|jpeg_std_error|76|library
