address|symbol|size|type
100099f0|_process_zipfiles|1251|library
1000d830|_DllMain@12|24|function
1000d850|_Wiz_Init@8|81|function
1000d8b0|_win_fprintf|92|function
1000d910|_DllMessagePrint@16|41|function
1000d940|_UzpPassword@24|67|function
1000d990|_Wiz_NoPrinting@4|12|function
1000d9a0|_DummySound@0|1|function
1000d9b0|_Wiz_StatReportCB@20|82|function
1000da10|_srWizUnzipToMemory@20|142|function
10011220|??_EsrZipOpener@@UAEPAXI@Z|30|function
10011280|??_GsrUnzipPlugin@@UAEPAXI@Z|30|function
10011300|??1srPlugin@@UAE@XZ|1|function
10011310|??_EsrOwnedBinIMStream@@$4PPPPPPPM@A@AEPAXI@Z|8|function
10011320|??_EsrOwnedBinIMStream@@UAEPAXI@Z|46|function
10011380|?getSize@srBinIMStream@@$4PPPPPPPM@3AEKXZ|12|function
10011390|?seek@srBinIMStream@@$4PPPPPPPM@3AEAAVsrBinStream@@K@Z|12|function
100113a0|?seek@srBinIMStream@@$4PPPPPPPM@3AEAAVsrBinStream@@KW4e_seekDir@2@@Z|12|function
100113b0|?tell@srBinIMStream@@$4PPPPPPPM@3AEKXZ|12|function
10011640|?vread@srBinIMStream@@EAEKPAXK@Z|6|function
10011646|?vget@srBinIStream@@MAEGXZ|6|function
10011650|__allmul|52|library
10011690|__aulldiv|104|library
10011700|??2@YAPAXI@Z|6|function
10011706|??3@YAXPAX@Z|6|function
1001170c|__CRT_INIT@12|171|library
10011854|__initterm|6|function
10015030|??_7srOwnedBinIMStream@@6BsrBinStream@@@|20|vtable
10015044|??_7srOwnedBinIMStream@@6BsrBinIStream@@@|8|vtable
1001504c|??_8srOwnedBinIMStream@@7B@|8|global
10015054|??_7srZipOpener@@6B@|12|vtable
10015060|??_7srUnzipPlugin@@6B@|8|vtable
