address|name|size|type
10001000|setFileNotFound|11|library
10001010|unzipToMemory|108|library
10001080|redirect_outfile|118|library
10001100|writeToMemory|84|library
10001160|close_redirect|83|library
100011c0|crc32|286|library
100012e0|get_crc_table|20|library
10001300|make_crc_table|59|library
10001340|decrypt_byte|30|library
10001360|update_keys|111|library
100013d0|init_keys|70|library
10001420|decrypt|546|library
10001650|testp|115|library
100016d0|testkey|226|library
100017c0|explode|987|library
10001ba0|get_tree|181|library
10001c60|explode_lit8|1747|library
10002340|explode_lit4|1747|library
10002a20|explode_nolit8|1543|library
10003030|explode_nolit4|1543|library
10003640|extract_or_test_files|4704|library
100048c0|store_info|813|library
10004bf0|extract_or_test_member|2118|library
10005440|_TestExtraField|1378|library
10005a10|test_compr_eb|178|library
10005ad0|memextract|505|library
10005cd0|memflush|99|library
10005d40|fnfilter|63|library
10005d80|open_input_file|92|library
10005de0|open_outfile|221|library
10005ec0|undefer_input|84|library
10005f20|defer_leftover_input|106|library
10005f90|readbuf|255|library
10006090|readbyte|304|library
100061c0|flush|487|library
100063b0|disk_error|79|library
10006400|_UzpMessagePrnt@16|440|library
100065d0|dos_to_unix_time|375|library
10006750|check_for_newer|165|library
10006800|do_string|1274|library
10006d20|makeword|15|library
10006d30|makelong|39|library
10006d60|zstrnicmp|110|library
10006dd0|globalsCtor|142|library
10006e60|inflate_codes|1254|library
10007350|inflate|205|library
10007420|inflate_block|265|library
10007530|inflate_stored|434|library
100076f0|inflate_fixed|327|library
10007840|inflate_dynamic|1604|library
10007e90|inflate_free|66|library
10007ee0|huft_build|1246|library
100083c0|huft_free|40|library
100083f0|list_files|1424|library
10008980|get_time_stamp|746|library
10008c70|fn_is_dir|88|library
10008cd0|ratio|148|library
10008d70|fnprint|72|library
10008dc0|match|30|library
10008de0|recmatch|667|library
10009080|iswild|53|library
100090c0|_ProcessDefer|212|library
100091a0|_ValidateSecurity|272|library
100092b0|_GetVolumeCaps|567|library
100094f0|_Initialize|163|library
100095a0|_GetRemotePrivilegesSet|235|library
10009690|_SecuritySet|367|library
10009800|_DeferSet|241|library
10009900|_InitLocalPrivileges|229|library
100099f0|process_zipfiles|1251|library
10009ee0|free_G_buffers|125|library
10009f60|do_seekable|2399|library
1000a8c0|find_ecrec|1052|library
1000ace0|uz_end_central|127|library
1000ad60|process_cdir_file_hdr|190|library
1000ae40|get_cdir_ent|303|library
1000af70|process_local_file_hdr|279|library
1000b090|ef_scan_for_izux|681|library
1000b340|process_defer_NT|148|library
1000b400|_IsWinNT|31|library
1000b420|close_outfile|510|library
1000b620|_EvalExtraFields|279|library
1000b740|_SetSD|236|library
1000b830|getNTfiletime|279|library
1000b950|utime2FileTime|37|library
1000b980|_FStampIsLocTime|35|library
1000b9b0|_NTtzbugWorkaround|122|library
1000ba30|_UTCtime2Localtime|255|library
1000bb30|stamp_file|147|library
1000bbd0|_NTQueryVolInfo|443|library
1000bd90|do_wild|1092|library
1000c1e0|_Opendir|324|library
1000c330|_Readdir|132|library
1000c3c0|_Closedir|30|library
1000c3e0|mapattr|38|library
1000c410|mapname|1303|library
1000c9a0|_IsVolumeOldFAT|35|library
1000c9d0|checkdir|2489|library
1000d390|isfloppy|47|library
1000d3c0|map2fat|386|library
1000d590|zstat_win32|436|library
1000d750|_FileTime2utime|126|library
1000d7d0|_VFatFileTime2utime|85|library
1000d830|DllMain|24|library
1000d850|_Wiz_Init@8|81|library
1000d8b0|win_fprintf|92|library
1000d990|Wiz_NoPrinting|12|library
1000daa0|zi_end_central|748|library
1000dd90|zipinfo|1580|library
1000e3e0|zi_long|5785|library
1000faa0|zi_short|1978|library
10010280|zi_showMacTypeCreator|677|library
10010530|zi_time|384|library
