function,size,gog_base,demo,gog_1261,gog_1261_new,gog_128_base,gog_128_patch,retail_2001_12_23
DDCreateSurface,74,0040f0b0,0040f410,0040f0b0,0040f0b0,0040f0b0,,
DDLockSurface,79,0040f100,0040f460,0040f100,0040f100,0040f100,,
DDUnlockSurface,35,0040f150,0040f4b0,0040f150,0040f150,0040f150,,
DDGetSurfaceDescription,51,0040f180,0040f4e0,0040f180,0040f180,0040f180,,
DDReleaseSurface,79,0040f1c0,0040f520,0040f1c0,0040f1c0,0040f1c0,,
DDRestoreSurface,30,0040f210,0040f570,0040f210,0040f210,0040f210,,
DDBltFastSurface,84,0040f230,0040f590,0040f230,0040f230,0040f230,,
DDBltSurface,103,0040f290,0040f5f0,0040f290,0040f290,0040f290,,
DDCreatePalette,50,0040f300,0040f660,0040f300,0040f300,0040f300,,
DDSetPaletteEntries,50,0040f340,0040f6a0,0040f340,0040f340,0040f340,,
DDGetPaletteEntries,50,0040f380,0040f6e0,0040f380,0040f380,0040f380,,
DDReleasePalette,30,0040f3c0,0040f720,0040f3c0,0040f3c0,0040f3c0,,
DDSetSurfaceColorKey,40,0040f3e0,0040f740,0040f3e0,0040f3e0,0040f3e0,,
