function,size,flags,build,module_sha256,classification,address,hit_count,similarity,relocation_masked_sha256,unavailable_reason
Chance,51,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,0040f340,1,1.000000,41dcc8ffef699be08fe27d886274ab3c8b5a0c6e761ad1719da03b0acd69ec88,
Chance,51,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040efe0,1,1.000000,41dcc8ffef699be08fe27d886274ab3c8b5a0c6e761ad1719da03b0acd69ec88,
Chance,51,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040efe0,1,1.000000,41dcc8ffef699be08fe27d886274ab3c8b5a0c6e761ad1719da03b0acd69ec88,
Chance,51,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,0040efe0,1,1.000000,41dcc8ffef699be08fe27d886274ab3c8b5a0c6e761ad1719da03b0acd69ec88,
Chance,51,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040efe0,1,1.000000,41dcc8ffef699be08fe27d886274ab3c8b5a0c6e761ad1719da03b0acd69ec88,
Chance,51,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,41dcc8ffef699be08fe27d886274ab3c8b5a0c6e761ad1719da03b0acd69ec88,no-text-section
Chance,51,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,41dcc8ffef699be08fe27d886274ab3c8b5a0c6e761ad1719da03b0acd69ec88,protected-executable
InitializeRandom,19,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,0040f2e0,1,1.000000,a83f745d7293dfba07bbb4b50919be51ef24e35b2b921f9eee41b57441b44e21,
InitializeRandom,19,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040ef80,1,1.000000,a83f745d7293dfba07bbb4b50919be51ef24e35b2b921f9eee41b57441b44e21,
InitializeRandom,19,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040ef80,1,1.000000,a83f745d7293dfba07bbb4b50919be51ef24e35b2b921f9eee41b57441b44e21,
InitializeRandom,19,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,0040ef80,1,1.000000,a83f745d7293dfba07bbb4b50919be51ef24e35b2b921f9eee41b57441b44e21,
InitializeRandom,19,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040ef80,1,1.000000,a83f745d7293dfba07bbb4b50919be51ef24e35b2b921f9eee41b57441b44e21,
InitializeRandom,19,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,a83f745d7293dfba07bbb4b50919be51ef24e35b2b921f9eee41b57441b44e21,no-text-section
InitializeRandom,19,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,a83f745d7293dfba07bbb4b50919be51ef24e35b2b921f9eee41b57441b44e21,protected-executable
Random,50,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,0040f300,1,1.000000,438ef441f48956b35998a4c1aa63c4da1d0a0fc45436883376b4a7bc849897bb,
Random,50,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040efa0,1,1.000000,438ef441f48956b35998a4c1aa63c4da1d0a0fc45436883376b4a7bc849897bb,
Random,50,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040efa0,1,1.000000,438ef441f48956b35998a4c1aa63c4da1d0a0fc45436883376b4a7bc849897bb,
Random,50,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,0040efa0,1,1.000000,438ef441f48956b35998a4c1aa63c4da1d0a0fc45436883376b4a7bc849897bb,
Random,50,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040efa0,1,1.000000,438ef441f48956b35998a4c1aa63c4da1d0a0fc45436883376b4a7bc849897bb,
Random,50,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,438ef441f48956b35998a4c1aa63c4da1d0a0fc45436883376b4a7bc849897bb,no-text-section
Random,50,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,438ef441f48956b35998a4c1aa63c4da1d0a0fc45436883376b4a7bc849897bb,protected-executable
