unit,function,source_line,finding,canonical_classification,canonical_address,build_scope,source_order,size,flags,details,evidence
compression,ZAlloc,14,retained,relocation-equivalent,00415820,all-five-comparable,1,20,/O2 /Ob2 /G5 /MD,Compression.obj immediately precedes the selected zlib objects,Unique relocation-masked candidate in every comparable build
compression,ZFree,19,retained,relocation-equivalent,00415840,all-five-comparable,2,13,/O2 /Ob2 /G5 /MD,Compression.obj immediately precedes the selected zlib objects,Unique relocation-masked candidate in every comparable build
compression,DecompressInit,24,retained,relocation-equivalent,00415850,all-five-comparable,3,92,/O2 /Ob2 /G5 /MD,Compression.obj immediately precedes the selected zlib objects,Unique relocation-masked candidate in every comparable build
compression,Decompress,55,retained,relocation-equivalent,004158b0,all-five-comparable,4,52,/O2 /Ob2 /G5 /MD,Compression.obj immediately precedes the selected zlib objects,Unique relocation-masked candidate in every comparable build
compression,DecompressFini,80,retained,relocation-equivalent,004158f0,all-five-comparable,5,23,/O2 /Ob2 /G5 /MD,Compression.obj immediately precedes the selected zlib objects,Sole masked candidate calls known inflateEnd at 00415960
compression,CompressedBufferSize,92,stripped,absent-or-stripped,,all-five-comparable,6,19,/O2 /Ob2 /G5 /MD,Later Compression.c COMDATs were eliminated,No exact relocation-equivalent or near candidate in any comparable build
compression,CompressInit,99,stripped,absent-or-stripped,,all-five-comparable,7,94,/O2 /Ob2 /G5 /MD,Later Compression.c COMDATs were eliminated,No exact relocation-equivalent or near candidate in any comparable build
compression,Compress,130,stripped,absent-or-stripped,,all-five-comparable,8,52,/O2 /Ob2 /G5 /MD,Later Compression.c COMDATs were eliminated,No exact relocation-equivalent or near candidate in any comparable build
compression,CompressFini,155,stripped,absent-or-stripped,,all-five-comparable,9,23,/O2 /Ob2 /G5 /MD,Later Compression.c COMDATs were eliminated,Masked body collides with DecompressFini but the sole candidate calls inflateEnd rather than deflateEnd
fileman,FileCheckEndOfFile,1792,near-match,near-source-with-wiz8-modifications,00405570,all-five-comparable,,,/O2 /Ob2 /G5 /MD,Released LibraryHeaderStruct stride 0x20; Wizardry stride 0x28; differing offsets 0x8e-0x90|0x96,Instruction diff changes shl-by-5 into multiply-by-5 then scale-by-8; FileOpenStruct remains 0x10 bytes
fileman,GetFileFirst,1512,near-match,near-source-with-wiz8-modifications,00405270,gog_1261_new,,,/O2 /Ob2 /G5 /MD,Source stores TRUE in fFindInfoInUse; Wiz8New stores FALSE; differing offset 0x75,Single immediate byte differs from every other comparable build
