decorated_name,ordinal,demangled_signature,calling_convention,importing_modules,class_name,kind,iat_address,name_origin,authority
?srAssertFail@@YAXPBD0J0ZZ,0,"void __cdecl srAssertFail(char const *, char const *, long, char const *, ...)",__cdecl,Wiz8.exe,,free-function,005ebaf4,original-export,abi-backed
?srAssertSetFunc@@YAXP6AXPBD0J0@Z@Z,0,"void __cdecl srAssertSetFunc(void (__cdecl *)(char const *, char const *, long, char const *))",__cdecl,Wiz8.exe,,free-function,005eba90,original-export,abi-backed
?srBSplineFilter@@3V0@A,0,class srBSplineFilter srBSplineFilter,,Wiz8.exe,,global-object,005eba54,original-export,abi-backed
?srBoxFilter@@3V0@A,0,class srBoxFilter srBoxFilter,,Wiz8.exe,,global-object,005eb51c,original-export,abi-backed
?srConfig@@3V0@A,0,class srConfig srConfig,,Wiz8.exe,,global-object,005eba9c,original-export,abi-backed
?srCore@@3V0@A,0,class srCore srCore,,Wiz8.exe,,global-object,005eb70c,original-export,abi-backed
?srExit@@YAHXZ,0,int __cdecl srExit(void),__cdecl,Wiz8.exe,,free-function,005ebaa4,original-export,abi-backed
?srHeap@@3V0@A,0,class srHeap srHeap,,Wiz8.exe,,global-object,005ebabc,original-export,abi-backed
?srInit@@YAHXZ,0,int __cdecl srInit(void),__cdecl,Wiz8.exe,,free-function,005eba74,original-export,abi-backed
?pipe@srTriMeshPipeline@@1PAV1@A,0,protected: static class srTriMeshPipeline *srTriMeshPipeline::pipe,,Wiz8.exe,*srTriMeshPipeline,method,005eb7fc,original-export,abi-backed
?vp@srVectorProcessor@@0PAVsrVP@@A,0,private: static class srVP *srVectorProcessor::vp,,Wiz8.exe,*srVectorProcessor,method,005eb7e8,original-export,abi-backed
??0srBinIMStream@@QAE@PBXK@Z,0,"public: __thiscall srBinIMStream::srBinIMStream(void const *, unsigned long)",__thiscall,Wiz8.exe,srBinIMStream,constructor,005eb760,original-export,abi-backed
??_DsrBinIMStream@@QAEXXZ,0,public: void __thiscall srBinIMStream::`vbase dtor'(void),__thiscall,Wiz8.exe,srBinIMStream,vbase-destructor,005eb744,original-export,abi-backed
??1srBinIStream@@UAE@XZ,0,public: virtual __thiscall srBinIStream::~srBinIStream(void),__thiscall,Wiz8.exe,srBinIStream,destructor,005eb8c4,original-export,abi-backed
??_7srBinIStream@@6B0@@,0,const srBinIStream::`vftable'{for `srBinIStream'},,Wiz8.exe,srBinIStream,vftable,005eb8d4,original-export,abi-backed
??_7srBinIStream@@6BsrBinStream@@@,0,const srBinIStream::`vftable'{for `srBinStream'},,Wiz8.exe,srBinIStream,vftable,005eb8d0,original-export,abi-backed
?vget@srBinIStream@@MAEGXZ,0,protected: virtual unsigned short __thiscall srBinIStream::vget(void),__thiscall,Wiz8.exe,srBinIStream,method,005eb8c0,original-export,abi-backed
??0srBinOMStream@@QAE@XZ,0,public: __thiscall srBinOMStream::srBinOMStream(void),__thiscall,Wiz8.exe,srBinOMStream,constructor,005eb798,original-export,abi-backed
