call_site,containing_function,source_path,line,expression
004c5e6f,004c5b60,..\Engine Code\Include\AnimRep.hpp,135,bBehaviour >= BEHAVIOUR_FIRST && bBehaviour <= BEHAVIOUR_LAST
0045992f,00459650,..\Engine Code\Include\stHeap.hpp,121,hlist
0045cafc,0045c9a0,..\Engine Code\Include\stHeap.hpp,225,heapsize < maxheapsize
00460f0e,00460b80,..\Engine Code\Include\stHeap.hpp,225,heapsize < maxheapsize
00461050,00460b80,..\Engine Code\Include\stHeap.hpp,225,heapsize < maxheapsize
00463918,00463290,..\Engine Code\Include\stHeap.hpp,225,heapsize < maxheapsize
00463d61,00463290,..\Engine Code\Include\stHeap.hpp,225,heapsize < maxheapsize
00463eb3,00463290,..\Engine Code\Include\stHeap.hpp,225,heapsize < maxheapsize
004675d2,004675b0,..\Engine Code\Include\stHeap.hpp,225,heapsize < maxheapsize
00457831,004577f0,..\Engine Code\Include\stHeap.hpp,242,heapsize > 0
0046116f,00460b80,..\Engine Code\Include\stHeap.hpp,242,heapsize > 0
00463f35,00463290,..\Engine Code\Include\stHeap.hpp,242,heapsize > 0
004a2172,004a20f0,..\Engine Code\Include\stLight.hpp,86,pNew
004a22dc,004a2230,..\Engine Code\Include\stLight.hpp,147,pNew
0043ebb9,0043d940,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
0043ec4b,0043d940,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
0043ece9,0043d940,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
00445243,00445200,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004dbaef,004dbab0,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e074c,004e06d0,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e089f,004e0880,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e11a7,004e1180,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e1809,004e17c0,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e1e59,004e1e10,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e2056,004e2010,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e20ae,004e2010,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e20f9,004e2010,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e213a,004e2010,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e2192,004e2010,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
004e21da,004e2010,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
0051712c,00517080,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
005e3b8c,005e3ab0,..\Engine Code\Include\Trigger.hpp,1005,m_bRepType == TRIGGER_REP_PROP
005e29b6,005e29a0,C:\Projects\Wizardry 8\3D Code\IList.cpp,100,pls
005e2a79,005e2a60,C:\Projects\Wizardry 8\3D Code\IList.cpp,154,pls
005e2b69,005e2b50,C:\Projects\Wizardry 8\3D Code\IList.cpp,327,pls
005e2c99,005e2c80,C:\Projects\Wizardry 8\3D Code\IList.cpp,426,pls
005e2cd9,005e2cc0,C:\Projects\Wizardry 8\3D Code\IList.cpp,542,pls
005e2459,005e2440,C:\Projects\Wizardry 8\3D Code\PList.cpp,142,ppl
005e26c9,005e26b0,C:\Projects\Wizardry 8\3D Code\PList.cpp,346,ppl
005d854c,005d7310,C:\Projects\Wizardry 8\Dialog Code\AssayDialog.cpp,912,uiSpell != SPELL_NONE
005d9557,005d9460,C:\Projects\Wizardry 8\Dialog Code\AssayDialog.cpp,1681,usIndex < NUM_RPC_RACES
005cf536,005cf520,C:\Projects\Wizardry 8\Dialog Code\DialogInterface.cpp,102,pDialog
005cf566,005cf550,C:\Projects\Wizardry 8\Dialog Code\DialogInterface.cpp,116,pDialog
005cf599,005cf580,C:\Projects\Wizardry 8\Dialog Code\DialogInterface.cpp,152,pCDialog
005df11b,005df0d0,C:\Projects\Wizardry 8\Dialog Code\ProfRaceInfoDialog.cpp,291,uiIndex < PROF_COUNT
005df5bb,005df570,C:\Projects\Wizardry 8\Dialog Code\ProfRaceInfoDialog.cpp,409,uiIndex < RACE_COUNT
005dc324,005dbee0,C:\Projects\Wizardry 8\Dialog Code\SpellInfoDialog.cpp,197,uiUnits == uiUnitsLvl
005dfcbb,005dfc70,C:\Projects\Wizardry 8\Dialog Code\StatInfoDialogs.cpp,204,uiIndex < ATTR_COUNT
005dfe8b,005dfdb0,C:\Projects\Wizardry 8\Dialog Code\StatInfoDialogs.cpp,227,uiIndex < SKILL_COUNT
