record_type,lower_address,upper_address,bounds,source_path,anchor_function_count,lower_anchor,upper_anchor,previous_source_path,next_source_path
translation-unit,0041aa40,0041f1f0,inclusive,Engine Code\GameData.cpp,3,0041aa40,0041f1f0,,
gap,0041f1f0,00424040,exclusive,,0,0041f1f0,00424040,Engine Code\GameData.cpp,Engine Code\Video2.cpp
translation-unit,00424040,00424040,inclusive,Engine Code\Video2.cpp,1,00424040,00424040,,
gap,00424040,0042a370,exclusive,,0,00424040,0042a370,Engine Code\Video2.cpp,Engine Code\Levels.cpp
translation-unit,0042a370,0042b020,inclusive,Engine Code\Levels.cpp,3,0042a370,0042b020,,
gap,0042b020,0042bc10,exclusive,,0,0042b020,0042bc10,Engine Code\Levels.cpp,Engine Code\Octree.cpp
translation-unit,0042bc10,00430a70,inclusive,Engine Code\Octree.cpp,5,0042bc10,00430a70,,
gap,00430a70,0043acc0,exclusive,,0,00430a70,0043acc0,Engine Code\Octree.cpp,Engine Code\BitArray.cpp
translation-unit,0043acc0,0043b700,inclusive,Engine Code\BitArray.cpp,3,0043acc0,0043b700,,
gap,0043b700,0043be60,exclusive,,0,0043b700,0043be60,Engine Code\BitArray.cpp,Engine Code\Trigger.cpp
translation-unit,0043be60,00445200,inclusive,Engine Code\Trigger.cpp,13,0043be60,00445200,,
gap,00445200,00446250,exclusive,,0,00445200,00446250,Engine Code\Trigger.cpp,Engine Code\OctBuildTree.cpp
translation-unit,00446250,00446250,inclusive,Engine Code\OctBuildTree.cpp,1,00446250,00446250,,
gap,00446250,00447570,exclusive,,0,00446250,00447570,Engine Code\OctBuildTree.cpp,Engine Code\GDFileIO.cpp
translation-unit,00447570,00449240,inclusive,Engine Code\GDFileIO.cpp,8,00447570,00449240,,
gap,00449240,0044aee0,exclusive,,0,00449240,0044aee0,Engine Code\GDFileIO.cpp,Engine Code\Prop.cpp
translation-unit,0044aee0,0044e1f0,inclusive,Engine Code\Prop.cpp,9,0044aee0,0044e1f0,,
gap,0044e1f0,0044f190,exclusive,,0,0044e1f0,0044f190,Engine Code\Prop.cpp,Engine Code\3dapi.cpp
translation-unit,0044f190,004511d0,inclusive,Engine Code\3dapi.cpp,9,0044f190,004511d0,,
gap,004511d0,00453690,exclusive,,0,004511d0,00453690,Engine Code\3dapi.cpp,Engine Code\Navigator.cpp
translation-unit,00453690,00453690,inclusive,Engine Code\Navigator.cpp,1,00453690,00453690,,
gap,00453690,00459400,exclusive,,0,00453690,00459400,Engine Code\Navigator.cpp,Engine Code\OctPath.cpp
translation-unit,00459400,00465a00,inclusive,Engine Code\OctPath.cpp,14,00459400,00465a00,,
gap,00465a00,004683f0,exclusive,,0,00465a00,004683f0,Engine Code\OctPath.cpp,Engine Code\OctPreTree.cpp
translation-unit,004683f0,0046c0f0,inclusive,Engine Code\OctPreTree.cpp,4,004683f0,0046c0f0,,
gap,0046c0f0,0046dc90,exclusive,,0,0046c0f0,0046dc90,Engine Code\OctPreTree.cpp,Engine Code\3d.cpp
translation-unit,0046dc90,0046e8a0,inclusive,Engine Code\3d.cpp,8,0046dc90,0046e8a0,,
gap,0046e8a0,00471720,exclusive,,0,0046e8a0,00471720,Engine Code\3d.cpp,Engine Code\stMeshModel.cpp
translation-unit,00471720,00473bf0,inclusive,Engine Code\stMeshModel.cpp,6,00471720,00473bf0,,
gap,00473bf0,0047a670,exclusive,,0,00473bf0,0047a670,Engine Code\stMeshModel.cpp,Engine Code\AmbientSound.cpp
translation-unit,0047a670,0047a790,inclusive,Engine Code\AmbientSound.cpp,3,0047a670,0047a790,,
gap,0047a790,0047b500,exclusive,,0,0047a790,0047b500,Engine Code\AmbientSound.cpp,Engine Code\Quality.cpp
translation-unit,0047b500,0047b500,inclusive,Engine Code\Quality.cpp,1,0047b500,0047b500,,
gap,0047b500,00480920,exclusive,,0,0047b500,00480920,Engine Code\Quality.cpp,Engine Code\stModelInstance.cpp
translation-unit,00480920,00480920,inclusive,Engine Code\stModelInstance.cpp,1,00480920,00480920,,
gap,00480920,00483a60,exclusive,,0,00480920,00483a60,Engine Code\stModelInstance.cpp,Engine Code\Environment.cpp
translation-unit,00483a60,00483ba0,inclusive,Engine Code\Environment.cpp,3,00483a60,00483ba0,,
gap,00483ba0,00485c10,exclusive,,0,00483ba0,00485c10,Engine Code\Environment.cpp,Engine Code\ReadMesh.cpp
translation-unit,00485c10,00488650,inclusive,Engine Code\ReadMesh.cpp,2,00485c10,00488650,,
