address|name|size|type
100013e0|jpeg_create_compress|97|library
10001470|jpeg_suppress_tables|78|library
100014c0|jpeg_finish_compress|258|library
10001690|jpeg_start_compress|117|library
10001710|jpeg_write_scanlines|196|library
100018b0|jinit_c_coef_controller|187|library
10001a20|jccoefct_start_iMCU_row|78|library
10001f30|jccoefct_compress_output|486|library
10002120|jinit_color_converter|528|library
100028b0|jinit_forward_dct|145|library
10002eb0|jpeg_make_c_derived_tbl|282|library
10002fd0|jpeg_gen_optimal_table|558|library
10003200|jinit_huff_encoder|59|library
10003510|encode_one_block|338|library
10003670|jchuff_emit_bits|198|library
10003740|jchuff_dump_buffer|44|library
10003770|jchuff_emit_restart|140|library
10003800|jchuff_flush_bits|39|library
10003990|htest_one_block|160|library
10003b40|jinit_compress_master|183|library
10003c00|jinit_c_main_controller|135|library
10003d90|jinit_marker_writer|97|library
10003e50|emit_byte|60|library
10003e90|emit_marker|32|library
10003eb0|emit_2bytes|40|library
10003f20|emit_jfif_app0|151|library
10003fc0|emit_adobe_app14|146|library
10004160|emit_dqt|201|library
10004230|emit_sof|184|library
100043b0|emit_dht|191|library
10004480|emit_dri|42|library
100044b0|emit_sos|221|library
10004630|jinit_c_master_control|191|library
100046f0|jcmaster_initial_setup|461|library
100048c0|validate_script|927|library
10004e20|select_scan_parameters|255|library
10004f20|jcmaster_per_scan_setup|458|library
100051a0|jpeg_abort|35|library
100051d0|jpeg_destroy|31|library
100051f0|jpeg_alloc_quant_table|31|library
10005210|jpeg_alloc_huff_table|31|library
10005230|jpeg_add_quant_table|186|library
100052f0|jpeg_set_linear_quality|52|library
10005330|jpeg_quality_scaling|56|library
10005370|jpeg_set_quality|30|library
10005390|jpeg_set_defaults|239|library
10005480|std_huff_tables|90|library
100054e0|add_huff_table|93|library
10005540|jpeg_default_colorspace|95|library
100055c0|jpeg_set_colorspace|716|library
10005b30|jinit_phuff_encoder|56|library
10005e90|jcphuff_emit_bits|213|library
10005f70|jcphuff_dump_buffer|60|library
10005fb0|emit_symbol|70|library
10006000|jcphuff_emit_restart|165|library
100060b0|jcphuff_flush_bits|28|library
100060d0|emit_eobrun|95|library
10006130|emit_buffered_bits|49|library
10006750|jinit_c_prep_controller|172|library
100069d0|expand_bottom_edge|52|library
10006c50|create_context_buffer|292|library
10006d80|jinit_downsampler|387|library
100070e0|expand_right_edge|92|library
10007e00|jpeg_create_decompress|118|library
10007f00|jpeg_read_header|112|library
10007f70|jpeg_consume_input|156|library
10008030|default_decompress_parms|410|library
10008270|jpeg_finish_decompress|192|library
10008330|jpeg_start_decompress|228|library
10008420|output_pass_setup|203|library
100084f0|jpeg_read_scanlines|160|library
10008590|jpeg_read_raw_data|188|library
10008760|jpeg_stdio_dest|61|library
10008860|jpeg_stdio_src|108|library
100089b0|jinit_d_coef_controller|264|library
10008ae0|jdcoefct_start_iMCU_row|81|library
100091e0|smoothing_ok|240|library
10009940|jinit_color_deconverter|423|library
10009b00|jdcolor_build_ycc_rgb_table|188|library
10009f30|jinit_inverse_dct|121|library
1000a220|jpeg_make_d_derived_tbl|489|library
1000a410|jpeg_fill_bit_buffer|253|library
1000a510|jpeg_huff_decode|241|library
1000a610|jinit_huff_decoder|60|library
1000abf0|jdhuff_process_restart|124|library
1000ac70|jinit_input_controller|74|library
1000acc0|jdinput_start_input_pass|57|library
1000ad00|jdinput_per_scan_setup|421|library
1000aeb0|latch_quant_tables|170|library
1000b050|jdinput_initial_setup|501|library
1000b2a0|jinit_d_main_controller|205|library
1000b370|alloc_funny_pointers|173|library
1000b4a0|make_funny_pointers|326|library
1000b7c0|set_wraparound_pointers|270|library
1000b8d0|set_bottom_pointers|153|library
1000b9a0|jpeg_resync_to_restart|249|library
1000baa0|next_marker|271|library
1000bbb0|jinit_marker_reader|133|library
1000c0b0|skip_variable|161|library
1000c4d0|get_soi|169|library
1000c580|get_sof|807|library
1000c8b0|get_sos|792|library
1000cbd0|get_dac|383|library
1000cd50|get_dht|844|library
1000d0a0|get_dqt|617|library
1000d310|get_dri|240|library
1000d400|first_marker|158|library
1000d530|reset_marker_reader|52|library
1000d570|jpeg_calc_output_dimensions|530|library
1000d7a0|use_merged_upsample|131|library
1000d8b0|jinit_master_decompress|52|library
1000d8f0|master_selection|472|library
1000dad0|prepare_range_limit_table|121|library
1000dce0|jinit_merged_upsampler|133|library
1000dd70|jdmerge_build_ycc_rgb_table|188|library
1000e2d0|jinit_phuff_decoder|110|library
1000e890|jdphuff_process_restart|131|library
1000f120|jinit_d_post_controller|143|library
1000f490|jinit_upsampler|500|library
1000fd80|jpeg_std_error|76|library
10011d50|jinit_memory_mgr|310|library
10011e90|alloc_small|303|library
10011fc0|out_of_memory|29|library
10011fe0|alloc_large|161|library
10012090|alloc_sarray|168|library
10012140|alloc_barray|176|library
100125b0|do_sarray_io|154|library
100127a0|do_barray_io|159|library
10012840|free_pool|241|library
10012980|jpeg_get_small|15|library
100129a0|jpeg_get_large|15|library
10012a10|jinit_1pass_quantizer|154|library
10012ab0|create_colormap|350|library
10012c10|select_ncolors|233|library
10012d00|output_value|30|library
10012d20|create_colorindex|316|library
10012e60|largest_input_value|28|library
10012e80|alloc_fs_workspace|64|library
10012fb0|create_odither_tables|88|library
10013010|make_odither_array|102|library
10013660|jinit_2pass_quantizer|302|library
10013790|init_error_limit|152|library
10013ab0|fill_inverse_cmap|282|library
10013bd0|find_nearby_colors|501|library
10013dd0|find_best_colors|350|library
10014240|select_colors|137|library
100142d0|update_box|1091|library
10014720|median_cut|312|library
10014860|find_biggest_color_pop|52|library
100148a0|find_biggest_volume|43|library
100148d0|compute_color|406|library
10014aa0|jdiv_round_up|16|library
