kind,class,field,expected,actual
base,Trigger,,"srClassSupport<Trigger, srClass, false, 65544>",[]
base,W8ColorSurface005EBD10,,srColorSurface,[]
base,W8Monster,,W8GrCycle,[]
base,W8MonsterRep,,W8EmitterHost,[]
base,W8MonsterShakeCallback,,W8MonsterShakeCallbackBase,[]
base,W8VirtualFileBinIStream,,srBinIStream,"[""srBinIStream_vbase_slim""]"
base,stParticle,,srNode,[]
base,stScript,,"srClassSupport<stScript, srClass, false, 65549>","[""srClassSupport[stScript,srClass,0,65549]""]"
base,stSound3D,,"srClassSupport<stSound3D, srNode, false, 65547>","[""srClassSupport[stSound3D,srNode,0,65547]""]"
base,stTextureFile,,"srClassSupport<stTextureFile, srTexture, false, 65537>","[""srClassSupport[stTextureFile,srTexture,0,65537]""]"
missing-ghidra-class,EnvironmentColour,,,
missing-ghidra-class,GDCamera,,,
missing-ghidra-class,Trigger,,,
missing-ghidra-class,W8AIMissile,,,
missing-ghidra-class,W8AmbientSound,,,
missing-ghidra-class,W8AniMesh,,,
missing-ghidra-class,W8AnimObj,,,
missing-ghidra-class,W8AnimRep005ED050,,,
missing-ghidra-class,W8AnimRepBase005EC1D8,,,
missing-ghidra-class,W8AnimRepValue3,,,
missing-ghidra-class,W8AnimRepValue4,,,
missing-ghidra-class,W8BinkVideo,,,
missing-ghidra-class,W8Camera005EBE14,,,
missing-ghidra-class,W8CameraMatrixRow004D6930,,,
missing-ghidra-class,W8CameraShakeEffect,,,
missing-ghidra-class,W8CastEffectOwner,,,
missing-ghidra-class,W8Chunk,,,
missing-ghidra-class,W8ChunkHead,,,
missing-ghidra-class,W8ClipPlane005ED180,,,
missing-ghidra-class,W8ColorSurface005EBD10,,,
missing-ghidra-class,W8DialogInterface,,,
missing-ghidra-class,W8EmitterHost,,,
missing-ghidra-class,W8EmitterTableHost,,,
missing-ghidra-class,W8EncounterByteVector,,,
missing-ghidra-class,W8EncounterTableRuntime,,,
missing-ghidra-class,W8Fog005EC94C,,,
missing-ghidra-class,W8GrCycle,,,
missing-ghidra-class,W8GroundShadowRegistry005ED3F8,,,
missing-ghidra-class,W8Item,,,
missing-ghidra-class,W8ItemDatabaseRecord,,,
missing-ghidra-class,W8ItemRep,,,
missing-ghidra-class,W8ItemVideoObjectEntry,,,
missing-ghidra-class,W8ItemVideoObjectVector,,,
missing-ghidra-class,W8LevelDataRecord,,,
missing-ghidra-class,W8LevelInfo,,,
missing-ghidra-class,W8Material005EBDE0,,,
missing-ghidra-class,W8MeshModel005EBE98,,,
missing-ghidra-class,W8ModelInstance2DRegistry005EC89C,,,
missing-ghidra-class,W8Monster,,,
missing-ghidra-class,W8MonsterRecord,,,
missing-ghidra-class,W8MonsterRep,,,
missing-ghidra-class,W8MonsterShakeCallback,,,
missing-ghidra-class,W8NamedPosition,,,
missing-ghidra-class,W8NavigatorAttachment,,,
missing-ghidra-class,W8NavigatorMovement004572C0,,,
missing-ghidra-class,W8Node005EC208,,,
missing-ghidra-class,W8ObjectBase00439550,,,
missing-ghidra-class,W8Octree,,,
missing-ghidra-class,W8OctreeWalk,,,
missing-ghidra-class,W8PathAI,,,
missing-ghidra-class,W8PathRecord004A9750,,,
missing-ghidra-class,W8PathRepresentation,,,
missing-ghidra-class,W8ProfRaceInfoDialogBase005DEAF0,,,
missing-ghidra-class,W8ProfessionInfoDialog005EFBFC,,,
missing-ghidra-class,W8PropOwnedPolymorphic,,,
missing-ghidra-class,W8RaceInfoDialog005EFC38,,,
missing-ghidra-class,W8Scene005EBE48,,,
missing-ghidra-class,W8SpellEmitterHost,,,
missing-ghidra-class,W8StartupRuntimeState,,,
missing-ghidra-class,W8StatInfoDialogBase005DF880,,,
missing-ghidra-class,W8TextureMap005EBEEC,,,
missing-ghidra-class,W8Timer005EC0A4,,,
missing-ghidra-class,W8TriggerActionData,,,
missing-ghidra-class,W8TriggerActionData005EC148,,,
missing-ghidra-class,W8TriggerActionData005EC158,,,
missing-ghidra-class,W8TriggerEvent,,,
missing-ghidra-class,W8TriggerShakeEvent,,,
missing-ghidra-class,W8VirtualFileBinIStream,,,
missing-ghidra-class,stLevel,,,
missing-ghidra-class,stLight,,,
missing-ghidra-class,stLightDefinition,,,
missing-ghidra-class,stMaterial,,,
missing-ghidra-class,stMeshModel,,,
missing-ghidra-class,stModelInstance,,,
missing-ghidra-class,stModelInstance005EC7D0,,,
missing-ghidra-class,stModelInstance2D,,,
missing-ghidra-class,stParticle,,,
missing-ghidra-class,stScript,,,
missing-ghidra-class,stSound3D,,,
missing-ghidra-class,stSurface2D,,,
missing-ghidra-class,stTexture2D,,,
missing-ghidra-class,stTextureAnim,,,
missing-ghidra-class,stTextureFile,,,
missing-pdb-class,W8AnimRepValue9,,,
missing-pdb-class,W8AttributeMinimums,,,
missing-pdb-class,W8EncounterTableLayout,,,
missing-pdb-class,W8GrowableVector<W8PathVector3 *>,,,
missing-pdb-class,W8GrowableVector<int>,,,
missing-pdb-class,W8ItemTableRecord,,,
missing-pdb-class,W8LevelNameRecord,,,
missing-pdb-class,W8LevelRuntimeBlock,,,
missing-pdb-class,W8MissileTableRecord,,,
missing-pdb-class,W8MonsterFlags330,,,
missing-pdb-class,W8MonsterMissileAttackBlock,,,
missing-pdb-class,W8MonsterState28C,,,
missing-pdb-class,W8MonsterState2AC,,,
missing-pdb-class,W8MonsterState2FC,,,
missing-pdb-class,W8ProfRaceInfoRow,,,
missing-pdb-class,W8PropBounds004BC5E0,,,
missing-pdb-class,W8ScreenStateRuntime,,,
missing-pdb-class,W8TriggerActionData005EC134,,,
missing-pdb-class,W8TriggerState370,,,
missing-pdb-class,W8VideoFrame,,,
missing-pdb-class,W8VideoObjectSlot,,,
missing-pdb-class,W8WorldCameraEntry,,,
missing-pdb-field,Trigger,action_230,,
missing-pdb-field,Trigger,action_data_128,,
missing-pdb-field,Trigger,action_data_mode_228,,
missing-pdb-field,Trigger,action_state_232,,
missing-pdb-field,Trigger,activation_callback_360,,
missing-pdb-field,Trigger,alternate_action_data_1a8,,
missing-pdb-field,Trigger,angle_0fc,,
missing-pdb-field,Trigger,fallback_action_22e,,
missing-pdb-field,Trigger,flag_350,,
missing-pdb-field,Trigger,flag_364,,
missing-pdb-field,Trigger,gold_358,,
missing-pdb-field,Trigger,initial_action_22a,,
missing-pdb-field,Trigger,inline_action_data_24c,,
missing-pdb-field,Trigger,m_bRepType,,
missing-pdb-field,Trigger,m_lData1,,
missing-pdb-field,Trigger,m_lData2,,
missing-pdb-field,Trigger,m_lData3,,
missing-pdb-field,Trigger,m_pActionData,,
missing-pdb-field,Trigger,m_pEvent,,
missing-pdb-field,Trigger,m_pProp,,
missing-pdb-field,Trigger,m_pWorld,,
missing-pdb-field,Trigger,m_pacRecipients,,
missing-pdb-field,Trigger,m_pacRequiredStates,,
missing-pdb-field,Trigger,m_pacStateToMod,,
missing-pdb-field,Trigger,next_activation_time_354,,
missing-pdb-field,Trigger,position_118,,
missing-pdb-field,Trigger,position_11c,,
missing-pdb-field,Trigger,position_120,,
missing-pdb-field,Trigger,state_01c,,
missing-pdb-field,Trigger,state_370,,
missing-pdb-field,Trigger,trigger_id_09c,,
missing-pdb-field,Trigger,trigger_kind_018,,
missing-pdb-field,Trigger,unknown_01d,,
missing-pdb-field,Trigger,unknown_0b5,,
missing-pdb-field,Trigger,unknown_0ca,,
missing-pdb-field,Trigger,unknown_10d,,
missing-pdb-field,Trigger,unknown_233,,
missing-pdb-field,Trigger,unknown_351,,
missing-pdb-field,Trigger,unknown_365,,
missing-pdb-field,Trigger,unknown_379,,
missing-pdb-field,Trigger,value_0a4,,
missing-pdb-field,Trigger,value_0a8,,
missing-pdb-field,Trigger,value_0ac,,
missing-pdb-field,Trigger,value_0b0,,
missing-pdb-field,Trigger,value_0b1,,
missing-pdb-field,Trigger,value_0b2,,
missing-pdb-field,Trigger,value_0b3,,
missing-pdb-field,Trigger,value_0b4,,
missing-pdb-field,Trigger,value_0b8,,
