decorated_name,ordinal,demangled_signature,calling_convention,importing_modules,representative_evidence,confidence
??0srColorSurface@@QAE@W4e_surfaceType@srPixelConvert@@KK@Z,81,"public: __thiscall srColorSurface::srColorSurface(enum srPixelConvert::e_surfaceType, unsigned long, unsigned long)",__thiscall,srEXT_JPEGImporter.dll,"code references 0x10014FB2,0x10014FE6,0x1001501A",exact-symbol
??1srColorSurface@@MAE@XZ,203,protected: virtual __thiscall srColorSurface::~srColorSurface(void),__thiscall,srEXT_JPEGImporter.dll,"code references 0x100151D3,0x10015760",exact-symbol
??4srColorSurface@@QAEAAV0@ABV0@@Z,293,public: class srColorSurface & __thiscall srColorSurface::operator=(class srColorSurface const &),__thiscall,srEXT_JPEGImporter.dll,"code references 0x100154EE,0x10015784",exact-symbol
?addToExporters@Exporter@srIOManager@@IAEXPAV2@PBD@Z,554,"protected: void __thiscall srIOManager::Exporter::addToExporters(class srIOManager *, char const *)",__thiscall,srEXT_JPEGImporter.dll,"code references 0x10014D81,0x1001560A",exact-symbol
?addToImporters@Importer@srIOManager@@IAEXPAV2@PBD@Z,556,"protected: void __thiscall srIOManager::Importer::addToImporters(class srIOManager *, char const *)",__thiscall,srEXT_JPEGImporter.dll,"code references 0x10014D67,0x10015610",exact-symbol
?adjust@srColorSurfaceIFace@@UAEXABV?$srVector4T@M@@00@Z,559,"public: virtual void __thiscall srColorSurfaceIFace::adjust(class srVector4T<float> const &, class srVector4T<float> const &, class srVector4T<float> const &)",__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 35 (+0x8C),exact-symbol
?adjustSaturation@srColorSurfaceIFace@@UAEXN@Z,560,public: virtual void __thiscall srColorSurfaceIFace::adjustSaturation(double),__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 36 (+0x90),exact-symbol
?allocate@srHeap@@QAEPAXK@Z,568,public: void * __thiscall srHeap::allocate(unsigned long),__thiscall,srEXT_JPEGImporter.dll,"code references 0x10014F94,0x10014FC8,0x10014FFC",exact-symbol
?blit@srColorSurface@@UAEXJJAAVsrColorSurfaceIFace@@JJJJ@Z,592,"public: virtual void __thiscall srColorSurface::blit(long, long, class srColorSurfaceIFace &, long, long, long, long)",__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 31 (+0x7C),exact-symbol
?blit@srColorSurfaceIFace@@UAEXABUBlitInfo@1@AAV1@@Z,593,"public: virtual void __thiscall srColorSurfaceIFace::blit(struct srColorSurfaceIFace::BlitInfo const &, class srColorSurfaceIFace &)",__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 30 (+0x78),exact-symbol
?changePixelFormat@srColorSurface@@UAEHABUPixelFormat@srPixelConvert@@H@Z,607,"public: virtual int __thiscall srColorSurface::changePixelFormat(struct srPixelConvert::PixelFormat const &, int)",__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 24 (+0x60),exact-symbol
?composite@srColorSurfaceIFace@@UAEXJJAAV1@JJJJN@Z,639,"public: virtual void __thiscall srColorSurfaceIFace::composite(long, long, class srColorSurfaceIFace &, long, long, long, long, double)",__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 29 (+0x74),exact-symbol
?copy@srColorSurfaceIFace@@UAEXAAV1@@Z,647,public: virtual void __thiscall srColorSurfaceIFace::copy(class srColorSurfaceIFace &),__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 32 (+0x80),exact-symbol
?copyColorChannel@srColorSurfaceIFace@@UAEXW4e_index@srARGB@@0@Z,648,"public: virtual void __thiscall srColorSurfaceIFace::copyColorChannel(enum srARGB::e_index, enum srARGB::e_index)",__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 39 (+0x9C),exact-symbol
?copyNoScaling@srColorSurface@@EAEXAAVsrColorSurfaceIFace@@@Z,650,private: virtual void __thiscall srColorSurface::copyNoScaling(class srColorSurfaceIFace &),__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 45 (+0xB4),exact-symbol
?dump@srColorSurface@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z,705,"public: virtual void __thiscall srColorSurface::dump(class std::basic_ostream<char, struct std::char_traits<char>> &)",__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 3 (+0x0C),exact-symbol
?fill@srColorSurface@@UAEXK@Z,766,public: virtual void __thiscall srColorSurface::fill(unsigned long),__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 25 (+0x64),exact-symbol
?flipColorChannels@srColorSurfaceIFace@@UAEXW4e_index@srARGB@@0@Z,812,"public: virtual void __thiscall srColorSurfaceIFace::flipColorChannels(enum srARGB::e_index, enum srARGB::e_index)",__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 40 (+0xA0),exact-symbol
?flipRectangle@srColorSurface@@UAEXABURectangle@srColorSurfaceIFace@@@Z,820,public: virtual void __thiscall srColorSurface::flipRectangle(struct srColorSurfaceIFace::Rectangle const &),__thiscall,srEXT_JPEGImporter.dll,srColorSurface vtable 0x10016D8C slot 34 (+0x88),exact-symbol
