call_site,call_kind,containing_function,source_path,line,expression,message
0041b266,direct,0041ab40,C:\Projects\Wizardry 8\Engine Code\GameData.cpp,595,lCollisions < 100,
0041c6aa,register-indirect,0041c680,C:\Projects\Wizardry 8\Engine Code\GameData.cpp,1248,iID && iID < m_iNumInterfaces,
0041c6dc,register-indirect,0041c680,C:\Projects\Wizardry 8\Engine Code\GameData.cpp,1250,(m_pInterfaces[iID].iStates + iStates) <= m_iNumStates,
0041c9bd,direct,0041c930,C:\Projects\Wizardry 8\Engine Code\GameData.cpp,1389,pstMeshModel,
0041f2c8,direct,0041f260,C:\Projects\Wizardry 8\Engine Code\GameData.cpp,2739,gpGDCamera,
004240e2,direct,00424040,C:\Projects\Wizardry 8\Engine Code\Video2.cpp,1595,psrMouseSurface,
0042415b,direct,00424040,C:\Projects\Wizardry 8\Engine Code\Video2.cpp,1589,psrMouseSurface,
004241d1,direct,00424040,C:\Projects\Wizardry 8\Engine Code\Video2.cpp,1601,psrMouseSurface,
0042a397,direct,0042a370,C:\Projects\Wizardry 8\Engine Code\Levels.cpp,237,ulLevel < TEST_LEVEL_COUNT,
0042a726,direct,0042a6f0,C:\Projects\Wizardry 8\Engine Code\Levels.cpp,385,iLevel < TEST_LEVEL_COUNT,
0042b199,direct,0042b020,C:\Projects\Wizardry 8\Engine Code\Levels.cpp,899,pMat,
0042bce7,direct,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,163,hOctFile,ReadOctFile: Couldn't open octree file.
0042bd5e,direct,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,172,fSuccess && (uiTerminator==0xffffffff),ReadOctFile: Header of Oct file longer than expected.
0042c4c2,direct,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,351,fSuccess && (uiTerminator==0xffffffff),ReadOctFile: PreRegions longer than expected.
0042c5c7,direct,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,377,(i2 < 10000),
0042c68a,direct,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,394,m_pAlphaBits,ReadOctFile: Failure allocating Alpha Bits.
0042c6bb,direct,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,395,m_pAlphaBits->Load(hOctFile),ReadOctFile: Failure reading Alpha Bits.
0042c70c,direct,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,401,m_pusMeshParticleLookup,ReadOctFile: Couldn't allocate Mesh Particle Lookup Table.
0042c7ab,direct,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,408,m_pusMeshParticles,ReadOctFile: Couldn't allocate Mesh Particle Link Table.
0042c850,direct,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,417,m_pusMeshPropLookup,ReadOctFile: Couldn't allocate Mesh Prop Lookup Table.
0042c8f5,register-indirect,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,424,m_pusMeshProps,ReadOctFile: Couldn't allocate Mesh Prop Link Table.
0042c99e,register-indirect,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,434,fSuccess && (uiTerminator==0xffffffff),"ReadOctFile: Mesh, Prop, and Particle data longer than expected."
0042caa4,register-indirect,0042bc10,C:\Projects\Wizardry 8\Engine Code\Octree.cpp,453,m_pPropSunBits,ReadOctFile: Couldn't allocate Prop Sun Bits.
