state,role,handler_address,kind,source_unit
0,initialize,005b1740,default-stub,
0,enter,005ae510,handler,
0,finish,005ae6f0,handler,
0,tick,005ae940,handler,
0,auxiliary,005b1740,default-stub,
1,initialize,005bc800,handler,
1,enter,005bc810,handler,Local Screens\MainMenuScreen.cpp
1,finish,005bcbf0,handler,
1,tick,00591870,handler,
1,auxiliary,005b1740,default-stub,
2,initialize,005b1740,default-stub,
2,enter,005b1740,default-stub,
2,finish,005c3800,handler,
2,tick,005b1740,default-stub,
2,auxiliary,005b1740,default-stub,
3,initialize,005b1740,default-stub,
3,enter,005b1750,handler,
3,finish,005b18e0,handler,
3,tick,005b1840,handler,
3,auxiliary,005b1740,default-stub,
4,initialize,00590db0,handler,
4,enter,00590de0,handler,
4,finish,00590fa0,handler,
4,tick,00591560,handler,
4,auxiliary,005b1740,default-stub,
5,initialize,005b1740,default-stub,
5,enter,005c2de0,handler,
5,finish,005c3120,handler,
5,tick,005c30b0,handler,
5,auxiliary,005b1740,default-stub,
6,initialize,005a3500,handler,
6,enter,005a3520,handler,Local Screens\ReviewCharacterScreen.cpp
6,finish,005a3ae0,handler,
6,tick,005a3ee0,handler,
6,auxiliary,005b1740,default-stub,
7,initialize,0055f7b0,handler,
7,enter,0055f8c0,handler,Local Screens\MainGameScreen.cpp
7,finish,0055fb30,handler,Local Screens\MainGameScreen.cpp
7,tick,00560660,handler,Local Screens\MainGameScreen.cpp
7,auxiliary,005b1740,default-stub,
8,initialize,0057e5d0,handler,
8,enter,0057e660,handler,
8,finish,0057f1f0,handler,
8,tick,0057efe0,handler,
8,auxiliary,0057fa20,handler,
9,initialize,005b1740,default-stub,
9,enter,005bc130,handler,
9,finish,005bc530,handler,
9,tick,005bc420,handler,
9,auxiliary,005b1740,default-stub,
10,initialize,005a9b00,handler,
10,enter,005a9b50,handler,
10,finish,005a9cc0,handler,
10,tick,005a9c70,handler,
10,auxiliary,005a9b30,handler,
11,initialize,005bddd0,handler,
11,enter,005bde40,handler,
11,finish,005be110,handler,
11,tick,005be0b0,handler,
11,auxiliary,005bde10,handler,
12,initialize,005b1740,default-stub,
12,enter,00591790,handler,
12,finish,005917e0,handler,
12,tick,00591870,handler,
12,auxiliary,005b1740,default-stub,
