vtable,slot0_destructor,single_virtual,destructor_bodies,source_unit,after_unit,before_unit,element_type
005ebfb8,0042a2e0,yes,2,,Engine Code\Video2.cpp,Engine Code\Levels.cpp,
005ebfe0,0042bb70,adjacent-vtable,2,,Engine Code\Levels.cpp,Engine Code\Octree.cpp,int
005ebfe4,0042bba0,adjacent-vtable,2,,Engine Code\Levels.cpp,Engine Code\Octree.cpp,
005ebfe8,0042bbd0,adjacent-vtable,2,,Engine Code\Levels.cpp,Engine Code\Octree.cpp,
005ebfec,0042bb40,yes,1,,Engine Code\Levels.cpp,Engine Code\Octree.cpp,
005ec004,00438f40,yes,2,,Engine Code\Octree.cpp,Engine Code\BitArray.cpp,
005ec0e0,00446130,adjacent-vtable,2,,Engine Code\Trigger.cpp,Engine Code\OctBuildTree.cpp,candidate index
005ec160,004461b0,no,2,,Engine Code\Trigger.cpp,Engine Code\OctBuildTree.cpp,
005ec168,00446160,no,2,,Engine Code\Trigger.cpp,Engine Code\OctBuildTree.cpp,
005ec170,00446200,yes,2,,Engine Code\Trigger.cpp,Engine Code\OctBuildTree.cpp,
005ec1d4,0044ef30,no,2,,Engine Code\Prop.cpp,Engine Code\3dapi.cpp,
005ec268,00451c70,no,2,,Engine Code\3dapi.cpp,Engine Code\Navigator.cpp,
005ec270,00451c00,no,2,,Engine Code\3dapi.cpp,Engine Code\Navigator.cpp,
005ec278,00451b90,no,2,,Engine Code\3dapi.cpp,Engine Code\Navigator.cpp,
005ec288,00451dc0,no,1,,Engine Code\3dapi.cpp,Engine Code\Navigator.cpp,
005ec290,00451d50,no,1,,Engine Code\3dapi.cpp,Engine Code\Navigator.cpp,
005ec298,00451ce0,yes,1,,Engine Code\3dapi.cpp,Engine Code\Navigator.cpp,
005ec2bc,00451b40,yes,2,,Engine Code\3dapi.cpp,Engine Code\Navigator.cpp,
005ec328,004561c0,yes,2,,Engine Code\Navigator.cpp,Engine Code\OctPath.cpp,
005ec3f4,0046cc50,yes,2,,Engine Code\OctPreTree.cpp,Engine Code\3d.cpp,
005ec4a8,00474db0,no,2,,Engine Code\stMeshModel.cpp,Engine Code\AmbientSound.cpp,
005ec504,00474d60,adjacent-vtable,2,,Engine Code\stMeshModel.cpp,Engine Code\AmbientSound.cpp,
005ec508,00474e90,adjacent-vtable,1,,Engine Code\stMeshModel.cpp,Engine Code\AmbientSound.cpp,
005ec50c,00474e60,yes,1,,Engine Code\stMeshModel.cpp,Engine Code\AmbientSound.cpp,
005ec518,00474de0,adjacent-vtable,2,,Engine Code\stMeshModel.cpp,Engine Code\AmbientSound.cpp,
005ec51c,00474e30,no,2,,Engine Code\stMeshModel.cpp,Engine Code\AmbientSound.cpp,
005ec9bc,00485a80,no,1,,Engine Code\Environment.cpp,Engine Code\ReadMesh.cpp,
005eca58,0048a160,no,2,,Engine Code\ReadMesh.cpp,Engine Code\MonGen.cpp,
