program,address,size,current_name,provisional_name,owner,confidence,name_origin,authority,evidence
srext-jpegimporter,10001000,200,FUN_10001000,srJPEG_read_header_adapter,sirtech-codec-adapter,exact,descriptive,descriptive,Owned source and VC6 SP5 rebuild produce a 100% reccmp match at the original address
srext-jpegimporter,100010d0,21,FUN_100010d0,jpegErrorExit,sirtech-codec-adapter,exact,descriptive,descriptive,Owned file-local IJG error callback produces a 100% reccmp match at the original address
srext-jpegimporter,100010f0,403,FUN_100010f0,srJPEG_encode_adapter,sirtech-codec-adapter,exact,descriptive,descriptive,Owned source and VC6 SP5 rebuild produce a 100% reccmp match at the original address
srext-jpegimporter,10001290,334,FUN_10001290,srJPEG_decode_adapter,sirtech-codec-adapter,exact,descriptive,descriptive,Owned source and VC6 SP5 rebuild produce a 100% reccmp match at the original address
srext-jpegimporter,100013e0,97,jpeg_create_compress,jpeg_create_compress,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10001450,12,FUN_10001450,jpeg_destroy_compress,ijg-jpeg-6,strong,original-source,source-backed,Identical destroy body resolved to jcapimin.c by position between jpeg_create_compress and jpeg_suppress_tables
srext-jpegimporter,10001460,12,FUN_10001460,jpeg_abort_compress,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcapimin.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10001470,78,jpeg_suppress_tables,jpeg_suppress_tables,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100014c0,258,jpeg_finish_compress,jpeg_finish_compress,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100015d0,87,FUN_100015d0,jpeg_write_marker,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcapimin.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10001630,83,FUN_10001630,jpeg_write_tables,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcapimin.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,10001690,117,jpeg_start_compress,jpeg_start_compress,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10001710,196,jpeg_write_scanlines,jpeg_write_scanlines,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,100017e0,201,FUN_100017e0,jpeg_write_raw_data,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jcapistd.c.obj; identity and ownership come from its VC6 PDB symbol
srext-jpegimporter,100018b0,187,jinit_c_coef_controller,jinit_c_coef_controller,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10001970,167,FUN_10001970,start_pass_coef,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and in-object order in jccoefct.c
srext-jpegimporter,10001a20,78,start_iMCU_row,start_iMCU_row,ijg-jpeg-6,high,original-source,source-backed,All source-built FID rows for this target agree on the same source symbol
srext-jpegimporter,10001a70,618,FUN_10001a70,compress_data,ijg-jpeg-6,strong,original-source,source-backed,Exact linked address and function extent in rebuilt jccoefct.c.obj; identity and ownership come from its VC6 PDB symbol
