claim_id,program,entity_kind,entity_key,predicate,value,origin,authority,confidence,reference,details
function-claim:wiz8:005e1c30:fid-variants,wiz8,function,005e1c30,fid-variants,rtm|sp3|sp4|sp5|sp6,fid,,,,
function-claim:wiz8:005e1ca0:fid-variants,wiz8,function,005e1ca0,fid-variants,rtm|sp3|sp4|sp5|sp6,fid,,,,
function-claim:wiz8:005e1cf0:fid-variants,wiz8,function,005e1cf0,fid-variants,rtm|sp3|sp4|sp5|sp6,fid,,,,
function-claim:wiz8:005e1da0:fid-variants,wiz8,function,005e1da0,fid-variants,rtm|sp3|sp4|sp5|sp6,fid,,,,
function-claim:wiz8:005e1dd0:fid-variants,wiz8,function,005e1dd0,fid-variants,rtm|sp3|sp4|sp5|sp6,fid,,,,
function-claim:wiz8:005e1def:fid-variants,wiz8,function,005e1def,fid-variants,rtm|sp3|sp4|sp5|sp6,fid,,,,
function-claim:wiz8:005e1e71:fid-variants,wiz8,function,005e1e71,fid-variants,rtm|sp3|sp4|sp5|sp6,fid,,,,
function-claim:wiz8:005e1ef1:fid-variants,wiz8,function,005e1ef1,fid-variants,rtm|sp3|sp4|sp5|sp6,fid,,,,
function-evidence:wiz8:00422240:canonical-callers,wiz8,function,00422240,behavior,,canonical-callers,,,name_origin=descriptive,Called once from the ported renderer-window bring-up as its device gate; loads the SurRender device and installs the assert handler
function-evidence:wiz8:00428ab0:original-runtime-string,wiz8,function,00428ab0,behavior,,original-runtime-string,,,name_origin=descriptive,"The retained strings at 0x006042f4 and 0x00604298 spell the developer notice and the assert-report format the handler emits; srAssertSetFunc has exactly one reference site, 0x004224e2, inside InitializeVideoDevice"
function-evidence:wiz8:004e6780:canonical-consumers,wiz8,function,004e6780,semantics,,canonical-consumers,,,consumers:004e6d45;005d63fa,The result contributes to a live-HP-weighted combat-strength total and is formatted in MonsterInfoDialog; combat value is descriptive and no original name is claimed
function-evidence:wiz8:0058aad0:canonical-callers,wiz8,function,0058aad0,behavior,,canonical-callers,,,name_origin=descriptive,The byte-exact GetFact and SetFact bodies call 0x0058aad0 as the variadic wide log channel their recovered source declares as WriteGameLog
function-source:wiz8:00415820:ZAlloc,wiz8,function,00415820,accepted-identity,ZAlloc,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Compression.obj immediately precedes the selected zlib objects; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00415840:ZFree,wiz8,function,00415840,accepted-identity,ZFree,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Compression.obj immediately precedes the selected zlib objects; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00415850:DecompressInit,wiz8,function,00415850,accepted-identity,DecompressInit,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Compression.obj immediately precedes the selected zlib objects; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:004158b0:Decompress,wiz8,function,004158b0,accepted-identity,Decompress,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Compression.obj immediately precedes the selected zlib objects; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:004158f0:DecompressFini,wiz8,function,004158f0,accepted-identity,DecompressFini,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Compression.obj immediately precedes the selected zlib objects; Sole masked candidate calls known inflateEnd at 00415960. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405970:CreateStack,wiz8,function,00405970,accepted-identity,CreateStack,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"First retained Container.c body; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:004059b0:CreateList,wiz8,function,004059b0,accepted-identity,CreateList,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Body collides with CreateQueue; List-sized callers and retained PeekList/AddtoList companions establish the identity. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405a00:Push,wiz8,function,00405a00,accepted-identity,Push,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained stack family; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
function-source:wiz8:00405a70:Pop,wiz8,function,00405a70,accepted-identity,Pop,sgp-source,source-backed,strong,evidence/snapshots/sgp/harness.csv;released-baseline:fdff790b,"Retained stack family; Unique relocation-masked candidate in every comparable build. Historical byte comparison identifies the source contribution, not unchanged authored source or relocation-target equivalence."
