evidence_id,program,address,origin,kind,reference,details
function-evidence:wiz8:00401000:vc6-runtime,wiz8,00401000,vc6-runtime,identity-review,name_origin=descriptive,"The PE optional header's entry point in a subsystem-2 image, running the standard MSVC 6 GUI startup sequence: SEH frame, __setusermatherr, __getmainargs, both _initterm tables, _acmdln parsing, GetStartupInfoA, then WinMain and exit. The name is the toolchain's convention rather than anything the binary states, so it stays descriptive until a FID match against a pinned CRT snapshot corroborates it"
function-evidence:wiz8:00517950:canonical-behavior,wiz8,00517950,canonical-behavior,identity-review,name_origin=descriptive,The complete body writes count sides and signed base to the three fields of the caller's packed W8Dice without reading any prior state
function-evidence:wiz8:00517950:reccmp,wiz8,00517950,reccmp,exact-compile,match:f97c4883ecf6d96a,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517970:reccmp,wiz8,00517970,reccmp,exact-compile,match:9e88bdc5744063e0,VC6 SP5 O2 G6 MD body is byte-exact after relocation masking in its original Local Code\UtilityFunctions.cpp ownership
function-evidence:wiz8:005179b0:reccmp,wiz8,005179b0,reccmp,exact-compile,match:4454e70e52316ed7,VC6 SP5 O2 G6 MD body is byte-exact in Local Code\UtilityFunctions.cpp
function-evidence:wiz8:005179d0:reccmp,wiz8,005179d0,reccmp,exact-compile,match:1375598580955744,VC6 SP5 O2 G6 MD body is byte-exact in Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517af0:canonical-behavior,wiz8,00517af0,canonical-behavior,identity-review,name_origin=descriptive,"The complete body emits decimal groups at powers 10^9 10^6 10^3 and 10^0, inserts comma separators and zero-pads later groups to three digits"
function-evidence:wiz8:00517af0:reccmp,wiz8,00517af0,reccmp,exact-compile,match:1daed9e40a7a316b,VC6 SP5 O2 G6 MD body is byte-exact after relocation masking; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517bd0:canonical-behavior,wiz8,00517bd0,canonical-behavior,identity-review,name_origin=descriptive,The only caller passes a character name and the complete body uppercases each word start while lowercasing all other bytes in place
function-evidence:wiz8:00517bd0:reccmp,wiz8,00517bd0,reccmp,exact-compile,match:203ee6a78e0581d9,VC6 SP5 O2 G6 MD body and compiler-owned switch table are byte-exact through the reviewed boundary; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00518230:canonical-behavior,wiz8,00518230,canonical-behavior,identity-review,name_origin=descriptive,The three callers request the next occupied eligible party slot after an existing slot or -1 and the complete body wraps across all eight records before relaxing its two eligibility gates
function-evidence:wiz8:00518230:reccmp,wiz8,00518230,reccmp,exact-compile,match:965c700c8cceb70a,VC6 SP5 O2 G6 MD body is byte-exact after relocation masking; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:005182e0:canonical-behavior,wiz8,005182e0,canonical-behavior,identity-review,name_origin=descriptive,The complete release body formats its variadic diagnostic into a 200-byte stack buffer and returns without retaining or emitting the result
function-evidence:wiz8:005182e0:reccmp,wiz8,005182e0,reccmp,exact-compile,match:d26b1c887abad341,VC6 SP5 O2 G6 MD body is byte-exact after relocation masking; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517e20:canonical-behavior,wiz8,00517e20,canonical-behavior,identity-review,name_origin=descriptive,The four signed component comparisons compute min left and top plus max right and bottom
function-evidence:wiz8:005179f0:canonical-behavior,wiz8,005179f0,canonical-behavior,identity-review,name_origin=descriptive,The complete unsigned body stores maximum above the upper bound and minimum below the lower bound
function-evidence:wiz8:005179f0:reccmp,wiz8,005179f0,reccmp,exact-compile,match:88540beb33c43f52,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517a70:canonical-behavior,wiz8,00517a70,canonical-behavior,identity-review,name_origin=descriptive,Direct vsprintf call receives the format first variadic argument and dedicated global narrow buffer then returns that buffer
function-evidence:wiz8:00517a70:reccmp,wiz8,00517a70,reccmp,exact-compile,match:41680d13e95f8d73,VC6 SP5 O2 G6 MD body is byte-exact after relocation masking; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517a90:canonical-behavior,wiz8,00517a90,canonical-behavior,identity-review,name_origin=descriptive,Direct vswprintf call receives the format first variadic argument and shared global wide buffer then returns that buffer
function-evidence:wiz8:00517a90:reccmp,wiz8,00517a90,reccmp,exact-compile,match:41680d13e95f8d73,VC6 SP5 O2 G6 MD body is byte-exact after relocation masking; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517ab0:canonical-behavior,wiz8,00517ab0,canonical-behavior,identity-review,name_origin=descriptive,The canonical wide %hs format and swprintf call prove narrow-to-wide conversion into the shared buffer
function-evidence:wiz8:00517ab0:reccmp,wiz8,00517ab0,reccmp,exact-compile,match:2b504b231343a12e,VC6 SP5 O2 G6 MD body is byte-exact after relocation masking; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517ad0:canonical-behavior,wiz8,00517ad0,canonical-behavior,identity-review,name_origin=descriptive,The canonical narrow %ls format and sprintf call prove wide-to-narrow conversion into the shared buffer
function-evidence:wiz8:00517ad0:reccmp,wiz8,00517ad0,reccmp,exact-compile,match:2b504b231343a12e,VC6 SP5 O2 G6 MD body is byte-exact after relocation masking; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517e20:reccmp,wiz8,00517e20,reccmp,exact-compile,match:86371ec728d66a87,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517e70:canonical-behavior,wiz8,00517e70,canonical-behavior,identity-review,name_origin=descriptive,The complete null-safe body uses inclusive left and top plus exclusive right and bottom bounds
function-evidence:wiz8:00517e70:reccmp,wiz8,00517e70,reccmp,exact-compile,match:0183854acdf18059,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517f30:canonical-behavior,wiz8,00517f30,canonical-behavior,identity-review,name_origin=descriptive,The complete loop compares against eight contiguous 0x1862-byte W8Character records beginning at g_party_characters
function-evidence:wiz8:00517f30:reccmp,wiz8,00517f30,reccmp,exact-compile,match:f584258fc2acbb60,VC6 SP5 O2 G6 MD body is byte-exact after masking the party-array relocation; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517f60:canonical-behavior,wiz8,00517f60,canonical-behavior,identity-review,name_origin=descriptive,The unsigned multiply by percent plus 100 and addition of 50 implement nearest-integer byte scaling
function-evidence:wiz8:00517f60:reccmp,wiz8,00517f60,reccmp,exact-compile,match:20a4ec21ed09f298,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517f90:canonical-behavior,wiz8,00517f90,canonical-behavior,identity-review,name_origin=descriptive,The complete body adds value times percent divided by 100 back into the unsigned value
function-evidence:wiz8:00517f90:reccmp,wiz8,00517f90,reccmp,exact-compile,match:c328875ef6bb64da,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517a10:canonical-behavior,wiz8,00517a10,canonical-behavior,identity-review,name_origin=descriptive,The complete body returns minus one when the first unsigned integer is greater and one when it is smaller
function-evidence:wiz8:00517a10:reccmp,wiz8,00517a10,reccmp,exact-compile,match:349ee8868869e8c5,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517a30:canonical-behavior,wiz8,00517a30,canonical-behavior,identity-review,name_origin=descriptive,The complete body returns minus one when the first signed integer is smaller and one when it is greater
function-evidence:wiz8:00517a30:reccmp,wiz8,00517a30,reccmp,exact-compile,match:5ef84fc478086a0a,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517a50:canonical-behavior,wiz8,00517a50,canonical-behavior,identity-review,name_origin=descriptive,The complete body returns minus one when the first signed integer is greater and one when it is smaller
function-evidence:wiz8:00517a50:reccmp,wiz8,00517a50,reccmp,exact-compile,match:52e84e4075a4aafb,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517c60:canonical-behavior,wiz8,00517c60,canonical-behavior,identity-review,name_origin=descriptive,The retained finite assertion and complete loop pair add or subtract two pi until the input lies in the canonical nonnegative turn
function-evidence:wiz8:00517c60:reccmp,wiz8,00517c60,reccmp,exact-compile,match:87b56f7e51776e8f,VC6 SP5 O2 G6 MD body is byte-exact; Local Code\UtilityFunctions.cpp
function-evidence:wiz8:00517ce0:canonical-behavior,wiz8,00517ce0,canonical-behavior,identity-review,name_origin=descriptive,The complete body normalizes both inputs computes each directed circular difference and returns the smaller result
