program,address,claimed_name,owner,confidence,name_origin,authority,aliases,source_path,source_line
wiz8,00401000,__WinMainCRTStartup,msvc6-runtime,strong,descriptive,descriptive,,,
wiz8,0040115e,_XcptFilter,msvc6-runtime,exact,original-export,abi-backed,,,
wiz8,00401164,_initterm,msvc6-runtime,exact,original-export,abi-backed,,,
wiz8,00401180,_onexit,msvc6-runtime,strong,descriptive,descriptive,,,
wiz8,004011ac,atexit,msvc6-runtime,strong,descriptive,descriptive,,,
wiz8,004011c0,_except_handler3,msvc6-runtime,exact,original-export,abi-backed,,,
wiz8,004011e0,WindowProc,wiz8-engine-code,strong,descriptive,descriptive,,,
wiz8,004018c0,GetRuntimeSettings,sgp-shared,exact,sgp-source,source-backed,,sgp/sgp.c,813
wiz8,00401920,ShutdownWithErrorBox,sgp-shared,strong,sgp-source,source-backed,,,
wiz8,00401950,ProcessCommandLine,sgp-shared,exact,sgp-source,source-backed,,sgp/sgp.c,839
wiz8,00401b30,KeyboardHandler,sgp-shared,exact,sgp-source,source-backed,,sgp/input.c,104
wiz8,00401c70,MouseHandler,sgp-shared,exact,sgp-source,source-backed,,sgp/input.c,225
wiz8,00401ea0,InitializeInputManager,sgp-shared,exact,sgp-source,source-backed,,sgp/input.c,315
wiz8,00401f70,ShutdownInputManager,sgp-shared,exact,sgp-source,source-backed,,sgp/input.c,357
wiz8,00401f90,QueueEvent,sgp-shared,exact,sgp-source,source-backed,,sgp/input.c,400
wiz8,00402140,DequeueEvent,sgp-shared,exact,sgp-source,source-backed,,sgp/input.c,529
wiz8,00402750,FreeMouseCursor,sgp-shared,exact,sgp-source,source-backed,,sgp/input.c,1524
wiz8,00402760,GetMouseWheelDeltaValue,sgp-shared,exact,sgp-source,source-backed,,sgp/input.c,1648
wiz8,00404b50,String,sgp-shared,exact,sgp-source,source-backed,,sgp/DEBUG.C,609
wiz8,00404bf0,FileExists,sgp-shared,exact,sgp-source,source-backed,,sgp/FileMan.c,226
wiz8,00404c40,FileExistsNoDB,sgp-shared,exact,sgp-source,source-backed,,sgp/FileMan.c,276
