program,site,iat_address,imported_vftable,containing_function,classification,derived_vtable,confidence,evidence
wiz8,00423b49,005eb4e4,??_7srMaterial@@6B@,00423500,inlined-construction,005ebde0,strong,"Inside a 2370-byte builder: operator new with a null check, the imported srMaterial vftable, srMaterial::reset, then the local derived vtable 005ebde0 whose slot 0 is a class-registry getter"
wiz8,004248a0,005eb4e4,??_7srMaterial@@6B@,00424790,inlined-construction,005ebde0,strong,"674-byte builder constructs a heap object through the imported vftable, srMaterial::reset, then derived vtable 005ebde0"
wiz8,0047fba4,005eb4e4,??_7srMaterial@@6B@,0047f930,inlined-construction,005ebde0,strong,2742-byte builder; same new/imported-vftable/reset/derived-005ebde0 sequence
wiz8,0048d61e,005eb4e4,??_7srMaterial@@6B@,0048d080,inlined-construction,005ebde0,strong,2554-byte builder; same new/imported-vftable/reset/derived-005ebde0 sequence
wiz8,0049053d,005eb4e4,??_7srMaterial@@6B@,00490210,inlined-construction,005ebde0,strong,1960-byte builder; same new/imported-vftable/reset/derived-005ebde0 sequence
wiz8,00492600,005eb4e4,??_7srMaterial@@6B@,004925b0,dedicated-constructor,005ecb38,strong,"307-byte constructor with six callers: registers with srRegistry, installs the imported srMaterial vftable, srMaterial::reset, then local vtables 005ecb6c and 005ecb38"
wiz8,00492d6d,005eb4e4,??_7srMaterial@@6B@,00492d00,dedicated-constructor,005ecb38,strong,349-byte sibling constructor with one caller; same registry and vtable sequence as 004925b0
wiz8,004c6f79,005eb4e4,??_7srMaterial@@6B@,004c6c30,inlined-construction,005ebde0,strong,1639-byte builder; same new/imported-vftable/reset/derived-005ebde0 sequence
wiz8,004d62e8,005eb4e4,??_7srMaterial@@6B@,004d61b0,inlined-construction,005ebde0,strong,392-byte builder; imported vftable then reset then derived 005ebde0 with a data pointer stored at +0x70
wiz8,0043b08f,005eb748,??_7srBinStream@@6B@,0043aec0,stack-temporary,,strong,531-byte archive reader places the imported srBinStream vftable in a stack local after checking a magic dword
wiz8,0047da2f,005eb748,??_7srBinStream@@6B@,0047da10,deleting-destructor,,strong,"53-byte vbase-adjusting scalar deleting destructor: adjusts this by the vbtable displacement, calls the complete destructor 0047d490, restores the imported srBinStream vftable, conditionally frees; the site had no containing function when first surveyed and now does"
wiz8,0047cc1f,005eb8d4,??_7srBinIStream@@6B0@@,0047cbd0,dedicated-constructor,005ec6a0,strong,VirtualFileBinIStream constructor installs both imported srBinIStream vftables then overwrites with its own; reviewed in classes.csv
wiz8,0047cc2c,005eb8d0,??_7srBinIStream@@6BsrBinStream@@@,0047cbd0,dedicated-constructor,005ec68c,strong,Second imported base vftable installed by the same reviewed VirtualFileBinIStream constructor
wiz8,0049d880,005eba00,??_7srLight@@6BsrVertexProcessor@@@,0049d660,dedicated-constructor,005ecd18,strong,MonsterLight copy constructor installs the imported srLight base vftables then its own local vtables; reviewed in classes.csv
wiz8,0049d888,005eb9fc,??_7srLight@@6B?$srClassSupport@VsrIlluminator@@VsrNode@@$0A@$0BCAA@@@@,0049d660,dedicated-constructor,005ecd0c,strong,Second imported srLight base vftable installed by the same reviewed MonsterLight copy constructor
