order,node_address,caller_address,role,ownership,provided_by,evidence,source_unit,status
1,00401000,,__WinMainCRTStartup,library,MSVCRT (source LIBRARY marker with provenance in claims.csv),"PE entry point from the optional header. CRT code: supplied by linking, never modelled. Installs the SEH frame at 0x004011C0 and the standard MSVCRT startup sequence",,resolved
2,00401164,00401000,_initterm (C initializers),library,MSVCRT _initterm thunk 0x00401164,Called with the 0x005FF430..0x005FF434 table,,resolved
3,00401164,00401000,_initterm (C++ global constructors),library,MSVCRT,"Called with the 0x005FF000..0x005FF42C table: 267 slots, 266 pointing into .text. The _initterm call is library code, but the 266 initializers it runs are FIRST-PARTY dynamic initializers, one per translation unit with a namespace-scope object",,resolved
4,00401670,00401000,WinMain,first-party,,"Called with GetModuleHandleA(0), the parsed command line and the startup show command; its result is passed to MSVCRT exit",unresolved,resolved
5,,00401670,single-instance guard,first-party,,"FindWindowExA on window class and title 0x005FF490 ""Wizardry 8""; an existing window gets SetForegroundWindow plus ShowWindow(9) and WinMain returns 0",unresolved,resolved
6,00401950,00401670,ParseCommandLine,first-party,,"strtok and _strnicmp over the command line against switches including 0x005FF50C ""/NOSOUND""",unresolved,resolved
7,00404bd0,00401670,QueryAvailableMemory,first-party,,Thin wrapper over GlobalMemoryStatus; the caller shifts right by 10 and stores kilobytes at 0x006F0624,unresolved,resolved
8,00427a60,00401670,GetVideoConfigFileName,first-party,,"Returns the literal 0x00603C70 ""3DVideo.CFG""",unresolved,resolved
9,00404bf0,00401670,FileExists,first-party,,Already-reviewed name; gates the video configuration file,unresolved,resolved
10,,00401670,3DSetup respawn,first-party,,"When 3DVideo.CFG is absent, _spawnl runs 0x005FF484 ""3DSetup.EXE"" and the check repeats; still absent means WinMain returns 0",unresolved,resolved
11,0042b830,00401670,CD presence check,first-party,,"Formats 0x00605ABC ""Please Insert the Wizardry 8 CD# 3."" through sprintf and shows it with MessageBoxA titled ""Wizardry 8""; failure ends WinMain",unresolved,resolved
12,00401570,00401670,BringUpEngine,first-party,,"Registers the window class from 0x005FF468 ""Wizardry8"" and 0x005FF474 ""Wizardry8key"" via 0x0040F020, then calls 0x00405740, 0x004018C0, 0x00404B00, 0x00404BA0, 0x005B1740 and 0x004023A0 in order; a false result ends WinMain",unresolved,resolved
13,,00401670,main message loop,first-party,,"PeekMessageA, then GetMessageA/TranslateMessage/DispatchMessageA; the loop continues while the byte at 0x006F0628 is set",unresolved,resolved
14,004e3340,00401670,per-frame tick,first-party,,"Called from the idle branch when the active flag at 0x006F0630 is set, otherwise WaitMessage is used; calls 0x004095B0, 0x0048F9E0 and 0x00429770 and dispatches through the table at 0x00647BD4",unresolved,resolved
15,,00401670,shutdown,first-party,,"PostQuitMessage(0) once the run flag clears, then WinMain returns msg.wParam and __WinMainCRTStartup passes it to MSVCRT exit",unresolved,resolved
16,004011ac,00401570,atexit,library,MSVCRT _onexit via the local wrapper at 0x00401180,"BringUpEngine's first act is atexit(0x004017F0), registering the shutdown handler before anything is created",,resolved
17,00647bd4,004e3340,frame dispatch table,first-party,,"Flat 62-entry function-pointer table indexed by state id; 17 slots hold the shared default stub at 0x005B1740 (mov al,1; ret) and 45 are real handlers. Enumerated in evidence/observations/wiz8/frame-dispatch-table.csv; five handlers attribute to Local Screens translation units through translation-unit-intervals.csv, which identifies this as the screen/state table",partial,resolved
17,004017f0,004011ac,shutdown handler,first-party,,"Registered via atexit. Guarded by a once-flag at 0x00650DB5, clears the run flag at 0x006F0628 and tears down through 0x00408850 and 0x004E34B0",unresolved,resolved
18,0040f020,00401570,RegisterWindowClass,first-party,,"Called with 0x005FF468 ""Wizardry8"" and 0x005FF474 ""Wizardry8key""",unresolved,resolved
19,00405740,00401570,SetModuleSubdirectory,first-party,,"Called with 0x005FF464 ""DLL"", the subdirectory the shipped tree uses for plug-in modules",unresolved,resolved
20,0040f020,00401570,SGP DirectDraw / window-class init,first-party,,"Registers the window class from ""Wizardry8""/""Wizardry8key"" and references C:\Projects\SGP\DirectDraw Calls.c, the SGP unit whose 13 functions are already source-matched",sgp/DirectDraw Calls.c,resolved
21,00405740,00401570,module search-path setup,first-party,,"Called with ""DLL"". Reads and rewrites the PATH environment variable via GetEnvironmentVariableA/SetEnvironmentVariableA, with _getcwd, FindFirstFileA and CompareFileTime, so plug-in DLLs load from the shipped DLL subdirectory",unresolved,resolved
22,004018c0,00401570,GetRuntimeSettings,first-party,SGP source oracle,"Relocation-masked exact build of sgp.c in all five comparable modules; formats ""%s\\sgp.ini"" and reads PIXEL_DEPTH through GetPrivateProfileIntA",sgp/sgp.c,resolved
23,00404b00,00401570,diagnostic log formatting,first-party,,158-byte vsprintf-based formatter used by the bring-up gates,unresolved,resolved
24,00401ea0,00401570,InitializeInputManager,first-party,SGP source oracle,"Relocation-masked exact build of input.c in all five comparable modules; installs KeyboardHandler 0x00401B30 and MouseHandler 0x00401C70 on the current thread",sgp/input.c,resolved
25,00421bb0,00401570,renderer window and extension loading,first-party,,"Receives hInstance, showCmd and the window procedure 0x004011E0. Calls SR.DLL srGERD::isWindowOpen and srExtension::load, plus OpenIcon/SetFocus/ShowWindow and _chdir; srExtension::load is how the srEXT_* plug-ins such as the already-recovered JPEG importer are brought in",unresolved,resolved
26,004023a0,00401570,texture/renderer defaults,first-party,,931 bytes calling SR.DLL srTextureMap::setupDefaultValues,unresolved,resolved
27,,00401570,remaining small gates,first-party,,"0x00404BA0 (30B), 0x00405E60 (26B), 0x00402970 (28B) and 0x005B1740 are bool gates too small to characterise from imports or strings alone",unresolved,partial
28,00406ba0,00401570,InitializeClockManager,first-party,SGP source oracle,"Relocation-masked exact build of timer.c in all five comparable modules; installs Clock 0x00406B70 through SetTimer after the window exists",sgp/timer.c,resolved
29,00401b30,00401ea0,KeyboardHandler,first-party,SGP source oracle,Unique relocation-masked input.c callback in all five comparable modules,sgp/input.c,resolved
30,00401c70,00401ea0,MouseHandler,first-party,SGP source oracle,Unique relocation-masked Wizardry mouse callback in all five comparable modules,sgp/input.c,resolved
31,00401f70,004017f0,ShutdownInputManager,first-party,SGP source oracle,Unique relocation-masked input teardown body with UnhookWindowsHookEx,sgp/input.c,resolved
32,00406bd0,004017f0,ShutdownClockManager,first-party,SGP source oracle,Unique relocation-masked timer teardown body with KillTimer before window teardown,sgp/timer.c,resolved
