program,vtable_id,class_name,address,subobject_offset,kind,slot_count,confidence,evidence_id
wiz8,GrCycle.primary,GrCycle,005ece78,0x0,primary,16,strong,classes:wiz8:GrCycle
wiz8,GrCycle.secondary_0x18,GrCycle,005eceb8,0x18,secondary,5,strong,classes:wiz8:GrCycle
wiz8,Monster.primary,Monster,005ed200,0x0,primary,6,strong,classes:wiz8:Monster
wiz8,Monster.secondary_0x18,Monster,005ed218,0x18,secondary,5,strong,classes:wiz8:Monster
wiz8,MonsterInfoDialog.primary,MonsterInfoDialog,005ef910,0x0,primary,14,strong,classes:wiz8:MonsterInfoDialog
wiz8,W8DialogMember005DB1B0.primary,W8DialogMember005DB1B0,005efa98,0x0,primary,1,exact,classes:wiz8:W8DialogMember005DB1B0
wiz8,W8DialogPtrVector005EF898.primary,W8DialogPtrVector005EF898,005ef898,0x0,primary,1,exact,classes:wiz8:W8DialogPtrVector005EF898
wiz8,W8DialogPtrVectorBase005EF89C.primary,W8DialogPtrVectorBase005EF89C,005ef89c,0x0,primary,1,exact,classes:wiz8:W8DialogPtrVectorBase005EF89C
wiz8,W8GrowableVector<int>.primary,W8GrowableVector<int>,005ec0e0,0x0,primary,1,strong,classes:wiz8:W8GrowableVector<int>
wiz8,VirtualFileBinIStream.primary,VirtualFileBinIStream,005ec6a0,0x0,primary,2,strong,classes:wiz8:VirtualFileBinIStream
wiz8,VirtualFileBinIStream.secondary_0x10,VirtualFileBinIStream,005ec68c,0x10,secondary,5,strong,classes:wiz8:VirtualFileBinIStream
wiz8,MonsterLight.primary,MonsterLight,005ecd18,0x0,primary,13,strong,classes:wiz8:MonsterLight
wiz8,MonsterLight.secondary_0x138,MonsterLight,005ecd0c,0x138,secondary,3,strong,classes:wiz8:MonsterLight
wiz8,stLight.primary,stLight,005ecc64,0x0,primary,13,strong,classes:wiz8:stLight
wiz8,stLight.secondary_0,stLight,005ecca4,,secondary,,strong,classes:wiz8:stLight
wiz8,W8Dialog005A80A0.primary,W8Dialog005A80A0,005eef6c,0x0,primary,15,strong,classes:wiz8:W8Dialog005A80A0
wiz8,W8DialogBase005D25B0.primary,W8DialogBase005D25B0,005ef8b0,0x0,primary,15,strong,classes:wiz8:W8DialogBase005D25B0
wiz8,W8StatInfoDialog005DFC70.primary,W8StatInfoDialog005DFC70,005efcc8,0x0,primary,16,strong,classes:wiz8:W8StatInfoDialog005DFC70
wiz8,W8StatInfoDialog005E0180.primary,W8StatInfoDialog005E0180,005efd48,0x0,primary,16,strong,classes:wiz8:W8StatInfoDialog005E0180
wiz8,W8Object0043A910.primary,W8Object0043A910,005ec0ac,0x0,primary,1,strong,classes:wiz8:W8Object0043A910
wiz8,W8WidgetBase005ED5BC.primary,W8WidgetBase005ED5BC,005ed5bc,0x0,primary,18,strong,classes:wiz8:W8WidgetBase005ED5BC
