program,call_site,call_kind,function_start,source_path,line,expression,message
wiz8--demo--wiz8--8acda50afe39,0041b5a1,direct,0041ae10,E:\Wizardry 8\Engine Code\GameData.cpp,591,lCollisions < 100,
wiz8--demo--wiz8--8acda50afe39,0041c9ea,register-indirect,0041c9c0,E:\Wizardry 8\Engine Code\GameData.cpp,1244,iID && iID < m_iNumInterfaces,
wiz8--demo--wiz8--8acda50afe39,0041ca1c,register-indirect,0041c9c0,E:\Wizardry 8\Engine Code\GameData.cpp,1246,(m_pInterfaces[iID].iStates + iStates) <= m_iNumStates,
wiz8--demo--wiz8--8acda50afe39,0041ccfd,direct,0041cc70,E:\Wizardry 8\Engine Code\GameData.cpp,1385,pstMeshModel,
wiz8--demo--wiz8--8acda50afe39,0041f618,direct,0041f5b0,E:\Wizardry 8\Engine Code\GameData.cpp,2735,gpGDCamera,
wiz8--demo--wiz8--8acda50afe39,00424349,direct,00424290,E:\Wizardry 8\Engine Code\Video2.cpp,1591,psrMouseSurface,
wiz8--demo--wiz8--8acda50afe39,004243c2,direct,00424290,E:\Wizardry 8\Engine Code\Video2.cpp,1585,psrMouseSurface,
wiz8--demo--wiz8--8acda50afe39,00424438,direct,00424290,E:\Wizardry 8\Engine Code\Video2.cpp,1597,psrMouseSurface,
wiz8--demo--wiz8--8acda50afe39,0042a897,direct,0042a870,E:\Wizardry 8\Engine Code\Levels.cpp,233,ulLevel < TEST_LEVEL_COUNT,
wiz8--demo--wiz8--8acda50afe39,0042ac36,direct,0042ac00,E:\Wizardry 8\Engine Code\Levels.cpp,381,iLevel < TEST_LEVEL_COUNT,
wiz8--demo--wiz8--8acda50afe39,0042b7aa,direct,0042b510,E:\Wizardry 8\Engine Code\Levels.cpp,895,pMat,
wiz8--demo--wiz8--8acda50afe39,0042c4c7,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,159,hOctFile,ReadOctFile: Couldn't open octree file.
wiz8--demo--wiz8--8acda50afe39,0042c53e,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,168,fSuccess && (uiTerminator==0xffffffff),ReadOctFile: Header of Oct file longer than expected.
wiz8--demo--wiz8--8acda50afe39,0042cca2,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,347,fSuccess && (uiTerminator==0xffffffff),ReadOctFile: PreRegions longer than expected.
wiz8--demo--wiz8--8acda50afe39,0042cda7,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,373,(i2 < 10000),
wiz8--demo--wiz8--8acda50afe39,0042ce6a,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,390,m_pAlphaBits,ReadOctFile: Failure allocating Alpha Bits.
wiz8--demo--wiz8--8acda50afe39,0042ce9b,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,391,m_pAlphaBits->Load(hOctFile),ReadOctFile: Failure reading Alpha Bits.
wiz8--demo--wiz8--8acda50afe39,0042ceec,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,397,m_pusMeshParticleLookup,ReadOctFile: Couldn't allocate Mesh Particle Lookup Table.
wiz8--demo--wiz8--8acda50afe39,0042cf8b,direct,0042c3f0,E:\Wizardry 8\Engine Code\Octree.cpp,404,m_pusMeshParticles,ReadOctFile: Couldn't allocate Mesh Particle Link Table.
