program,call_site,call_kind,function_start,name
wiz8--demo--wiz8--8acda50afe39,0041d26e,register-indirect,0041cc70,GameData Mesh
wiz8--demo--wiz8--8acda50afe39,0041d298,register-indirect,0041cc70,GameData Mesh
wiz8--demo--wiz8--8acda50afe39,0042389f,register-indirect,004237e0,2D Permanent Overlay Scene
wiz8--demo--wiz8--8acda50afe39,00423915,register-indirect,004237e0,2D User Overlay Scene
wiz8--demo--wiz8--8acda50afe39,0042398b,register-indirect,004237e0,Full Screen Overlay Scene
wiz8--demo--wiz8--8acda50afe39,00423a03,register-indirect,004237e0,2D Overlay Scene (0)
wiz8--demo--wiz8--8acda50afe39,00423a79,register-indirect,004237e0,2D Overlay Scene (1)
wiz8--demo--wiz8--8acda50afe39,00424763,direct,004244e0,Video2DRectToPolygon
wiz8--demo--wiz8--8acda50afe39,0042498f,direct,004247c0,Video2DRectToSquarePolygon
wiz8--demo--wiz8--8acda50afe39,00424bf9,direct,004249f0,Video2DPolyColored
wiz8--demo--wiz8--8acda50afe39,00424d20,direct,00424cb0,VideoMakePoster
wiz8--demo--wiz8--8acda50afe39,00424ed4,register-indirect,00424d90,VideoMakePoster
wiz8--demo--wiz8--8acda50afe39,00425043,register-indirect,00424d90,VideoMakePoster
wiz8--demo--wiz8--8acda50afe39,0042512e,direct,004250a0,Video2DMakePolygonBrush
wiz8--demo--wiz8--8acda50afe39,00425233,direct,004250a0,Video2DMakePolygonBrush
wiz8--demo--wiz8--8acda50afe39,00425324,direct,004250a0,Video2DMakePolygonBrush
wiz8--demo--wiz8--8acda50afe39,00425438,register-indirect,00425380,Video2DMakePolygonBrush
wiz8--demo--wiz8--8acda50afe39,004255ae,register-indirect,00425380,Video2DMakePolygonBrush
wiz8--demo--wiz8--8acda50afe39,004281a8,register-indirect,00427ea0,MouseResize
wiz8--demo--wiz8--8acda50afe39,0042823f,register-indirect,00427ea0,Mouse Cursor Mesh
wiz8--demo--wiz8--8acda50afe39,00428a39,register-indirect,004289d0,Mouse Cursor Scene
wiz8--demo--wiz8--8acda50afe39,00429398,register-indirect,004292e0,VideoVObjecttoTextureAnim
wiz8--demo--wiz8--8acda50afe39,004294be,register-indirect,004292e0,VideoVObjecttoTextureAnim:srColorSurface
wiz8--demo--wiz8--8acda50afe39,00429533,register-indirect,004292e0,VideoVObjecttoTextureAnim
wiz8--demo--wiz8--8acda50afe39,0042b7ba,direct,0042b510,AnimatedCloudMaterial
wiz8--demo--wiz8--8acda50afe39,00443115,direct,004429d0,
wiz8--demo--wiz8--8acda50afe39,0044470a,direct,004429d0,
wiz8--demo--wiz8--8acda50afe39,0044c728,direct,0044c270,
wiz8--demo--wiz8--8acda50afe39,004505e6,register-indirect,00450520,Sir-Tech Scene Static Scene
wiz8--demo--wiz8--8acda50afe39,0045ea2f,direct,0045e970,WayPoint Mesh
wiz8--demo--wiz8--8acda50afe39,0045ec82,direct,0045e970,WayPoint Mesh
wiz8--demo--wiz8--8acda50afe39,00470ccd,direct,00470c70,
wiz8--demo--wiz8--8acda50afe39,00470dcc,direct,00470c70,
wiz8--demo--wiz8--8acda50afe39,00470ebb,direct,00470e20,
wiz8--demo--wiz8--8acda50afe39,00472364,direct,00472120,ST_CreateInstance
wiz8--demo--wiz8--8acda50afe39,0047242c,direct,00472120,ST_CreateInstance
wiz8--demo--wiz8--8acda50afe39,004793e3,direct,00479370,Sirtech Camera
wiz8--demo--wiz8--8acda50afe39,0047ec91,direct,0047eb70,
wiz8--demo--wiz8--8acda50afe39,004884b3,direct,00488200,Read Mesh Duplicate Instance
wiz8--demo--wiz8--8acda50afe39,00488c6f,register-indirect,00488500,
wiz8--demo--wiz8--8acda50afe39,00488c83,register-indirect,00488500,ReadSTMeshFromFile
wiz8--demo--wiz8--8acda50afe39,0048adb8,register-indirect,0048ab70,
wiz8--demo--wiz8--8acda50afe39,0048add6,register-indirect,0048ab70,Multi Mesh Instance
wiz8--demo--wiz8--8acda50afe39,0048ffb7,direct,0048f9f0,Cube Number Material
wiz8--demo--wiz8--8acda50afe39,004902a7,direct,0048f9f0,stCube
wiz8--demo--wiz8--8acda50afe39,00492366,direct,00492310,Music Playlist
wiz8--demo--wiz8--8acda50afe39,0049271e,direct,004925e0,
wiz8--demo--wiz8--8acda50afe39,00492750,direct,004925e0,
wiz8--demo--wiz8--8acda50afe39,0049abb9,direct,0049aab0,
wiz8--demo--wiz8--8acda50afe39,0049fe27,direct,0049fda0,MonFixedLight
wiz8--demo--wiz8--8acda50afe39,004a19d9,direct,004a18e0,ItemRep::ReadFromFile
wiz8--demo--wiz8--8acda50afe39,004ab6ec,direct,004ab690,Ground Shadow
wiz8--demo--wiz8--8acda50afe39,004b84be,direct,004b8320,Ani Mesh Duplicate Instance
wiz8--demo--wiz8--8acda50afe39,004b8549,direct,004b8320,Ani Mesh Duplicate Instance
wiz8--demo--wiz8--8acda50afe39,004b8902,direct,004b8750,AniMeshReallyReadFromFile
wiz8--demo--wiz8--8acda50afe39,004b8a7e,direct,004b8750,AniMeshReallyReadFromFile
wiz8--demo--wiz8--8acda50afe39,004bbac3,direct,004bb4a0,
wiz8--demo--wiz8--8acda50afe39,004bbd8b,direct,004bbcb0,
wiz8--demo--wiz8--8acda50afe39,004bc2fd,direct,004bbe90,
wiz8--demo--wiz8--8acda50afe39,004bc40a,direct,004bc320,
