program,storage_class,unit,lower,upper,baseline_globals
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\GameData.cpp,00652938,00652dce,24
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Video2.cpp,00659688,00659688,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Levels.cpp,00659738,00659738,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Octree.cpp,00659760,006598ac,13
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\BitArray.cpp,006598d4,006598f1,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Trigger.cpp,006598fc,006599c8,10
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\GDFileIO.cpp,00659a34,00659a58,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Prop.cpp,00659a60,00659a60,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\3dapi.cpp,00659a68,00659ac0,10
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Navigator.cpp,00659bf8,00659c04,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\OctPath.cpp,00659c18,00659c6c,21
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\3d.cpp,00659c80,00659c8c,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\stMeshModel.cpp,00659cbc,0065a0ec,6
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Quality.cpp,0065a118,0065a118,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Environment.cpp,0065a160,0065b9bc,33
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\ReadMesh.cpp,0065b9cc,0065ba04,13
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\MonGen.cpp,0065ba10,0065ba44,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\stCube.cpp,0065ba5c,0065ba64,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Cursor3d.cpp,0065ba8c,0065ba98,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\stParticle.cpp,0065bd58,0065bdc4,27
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\OctSubMesh.cpp,0065bdcc,0065bdcd,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Missile.cpp,0065bde4,0065bde4,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\GrCycle.cpp,0065bdf0,0065be0c,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\PathAI.CPP,0065be10,0065be11,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Spells.cpp,0065be14,0065be20,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\AniMesh.cpp,0065be78,0065be90,6
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\GrObject.cpp,0065be9c,0065be9d,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\materials.cpp,0065bea8,0065beaf,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\UpdateMesh.cpp,0065beb8,00682fb8,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\ReadLevel.cpp,00682fbc,00682fbd,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\quad.cpp,00682fc0,00682fc1,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\Monster.cpp,00682fd0,00682fe1,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\OctPrePath.cpp,00682fe8,00682fe9,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\LevelFile.cpp,00682ff8,006833fc,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Engine Code\SoundEvent.cpp,00683408,00683420,8
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Level Specific Code\MasterFunctionList.cpp,006834d4,006834e0,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Level Specific Code\MtGigasOuter.cpp,006834fc,00683508,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Level Specific Code\MartensBluff1.cpp,00683558,00683558,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Level Specific Code\Arnika.cpp,00683570,006835f0,32
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\MonsterManager.cpp,00683698,00683698,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\Combat.cpp,006837a1,00685117,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\GameplayCode.cpp,0068517d,00687526,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\RegionManager.cpp,00689b38,00689b50,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\ItemManager.cpp,00689b54,00689b54,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\Sight.cpp,00689b6c,00689b74,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\search.cpp,00689fac,00689fb4,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\UtilityFunctions.cpp,0068c098,0068c0b0,6
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\NPC Scripting.cpp,0068c358,0068c501,27
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\MonsterAI.cpp,0068d520,0068d525,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\Factions.cpp,0068d528,0068d6e9,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\Combat Sound.cpp,0068d850,0068de28,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\ButtonSound.cpp,0068de38,0068de3c,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\Screens.cpp,0068ed10,0068edac,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\mipe.cpp,0068f0fe,0068f134,15
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\AutomapScreen.cpp,0068f154,0068f2ac,41
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSTextBox.cpp,0068f2b4,0069b7d0,22
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSButtons.cpp,0069b87e,0069b8ec,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSPortraits.cpp,0069b920,0069b948,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSUseItemSelect.cpp,0069b950,0069bf38,22
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSPartyMovement.cpp,0069bf40,0069c0e4,17
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\IntroScreen.cpp,0069c258,0069c258,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSSpellIcons.cpp,0069c25c,0069c2c0,10
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\RCSCommon.cpp,0069c3c0,0069c404,18
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\RCSItemsPage.cpp,0069c424,0069c480,11
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MainMenuScreen.cpp,0069c4ac,0069c4c4,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\DialogInterface.cpp,0069c568,0069c5c8,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\stMessageDialog.cpp,0069c5d4,0069c80f,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\AssayDialog.cpp,0069c814,0069c818,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\stButton.cpp,0069ca24,0069ca25,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\SpellInfoDialog.cpp,0069ca2c,0069ca2d,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\GameData.cpp,00603ac4,00603bd8,10
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Video2.cpp,00603c48,00604060,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Levels.cpp,00604470,00605a88,21
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Octree.cpp,00605afc,006066f0,73
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\BitArray.cpp,006068f0,00606960,5
