container,role,source_kind,member_path,sha256,size,scan_status,linker_version,toolchain_inference,configuration_inference,inference_evidence,record_count
CosmicForge_UNICODE.rar,unassigned,container-member,CFAgent.dll,47aea7af79348dfa4862ee95ebced0a1636b78dcc8f5dbd2ea3fae57fb445b75,147456,scanned,6.0,Microsoft Visual C++ / LINK (strong PE evidence),unknown,,1
CosmicForge_UNICODE.rar,unassigned,container-member,CFInjector.exe,b0778c4f81cb91b1eda6e69e5f71fea82dbc61229ecfb116195cfed14e38cc73,66048,scanned,11.0,Microsoft Visual C++ / LINK (strong PE evidence),unknown,,0
CosmicForge_UNICODE.rar,unassigned,container-member,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,8640000,scanned,11.0,Microsoft Visual C++ / LINK (strong PE evidence),unknown,,10
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,3DfxSpl.dll,1ee8b2b4963b95f600ac683907778304f75c559aa6831a3f203efafc8d67d45a,1105408,scanned,5.10,Microsoft Visual C++ / LINK (strong PE evidence),unknown,,2
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,3DfxSpl2.dll,262c70749ac24b4d3691e39767d3e01b5b4957b9b82768186e5faa58f395ceba,1105408,scanned,5.10,Microsoft Visual C++ / LINK (strong PE evidence),unknown,,2
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,3DfxSpl3.dll,e282bcba9e04ac9a898ae353f93573fa7f94eb5a4e0bc0c25933c3b702bb269e,1105408,scanned,5.10,Microsoft Visual C++ / LINK (strong PE evidence),unknown,,2
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,3DSetup.exe,b440ee06a3aa03c4fa301dcaba6875a61488f0dee3d06386b721f4cbe0c11473,102454,scanned,6.0,Microsoft Visual C++ 6.x-era toolchain (strong PE evidence),release,artifact path contains a Release component,1
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,input-container,<container>,48e31728ef2615f4e1ee3e34c901feec8ea428a474fc9c7386cc11018311a68d,1414563528,scanned,2.25,unknown,unknown,,0
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,__redist/ISI/scriptinterpreter.exe,c691bda1709d1ee66e1d5a27f9a254e26c0575eef187cad3d1e90de40d1aea43,1156400,scanned,2.25,unknown,unknown,,0
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,binkw32.dll,1fd7ef7873c8a3be7e2f127b306d0d24d7d88e20cf9188894eff87b5af0d495f,286208,scanned,6.0,Microsoft Visual C++ / LINK (strong PE evidence),unknown,,0
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,commonappdata/GOG.com/supportInstaller/uninstall.dll,cc685dbcf798549ad1a51c1dde45462e2a451ec59f48ee91219182a3871cd5b0,708096,scanned,2.25,unknown,unknown,,0
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,Dll/srDD_DirectX6.dll,2968987f843f1e1b228b2ff322923e5ac215095a3cb41877b169f01820f8f316,86096,scanned,6.0,Microsoft Visual C++ (strong PE evidence),release,artifact path contains a Release component,1
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,Dll/srDD_DirectX7.dll,3623f1cb66cd50b7141b49f82100a8ffa1fd3c53ddebc7093bfddeb148cbf8e9,94283,scanned,6.0,Microsoft Visual C++ (strong PE evidence),release,artifact path contains a Release component,1
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,Dll/srDD_Glide2x.dll,e19987fb5bc9abcceadf4ad64bf108ac2f95d10b520d8de294d9b10466ca1d11,69705,scanned,6.0,Microsoft Visual C++ (strong PE evidence),release,artifact path contains a Release component,1
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,Dll/srDD_OpenGL.dll,a176aa711039aebbfe33eb5d48e082dcd608835eeebd2a69ead9b455400afc8c,36953,scanned,6.0,Microsoft Visual C++ (strong PE evidence),release,artifact path contains a Release component,1
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,Dll/srDD_Software.dll,8866a254569f61022b857628380171dff018939376c02965741635421d0c79f8,127051,scanned,6.0,Microsoft Visual C++ (strong PE evidence),release,artifact path contains a Release component,1
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,Dll/srEXT_AVI.dll,9d27a6698693fb6b244951166d873a1f1a102213f5832d60379234176bd0eb07,24650,scanned,6.0,Microsoft Visual C++ 6.x-era toolchain (strong PE evidence),release,artifact path contains a Release component,1
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,Dll/srEXT_default.dll,e2a9d1e7f11e0927b7bacfe058a7113b234f0aded92f4c5fecfb23cf86ead7f8,57426,scanned,6.0,Microsoft Visual C++ 6.x-era toolchain (strong PE evidence),release,artifact path contains a Release component,1
setup_wizardry_8_2001_12_23_(22306).exe,gog-media,container-member,Dll/srEXT_FLIC.dll,3ce83b9944f4d26f027c5b322a5dbea97cfe6339a7298b25914f67f35ccfd281,28748,scanned,6.0,Microsoft Visual C++ 6.x-era toolchain (strong PE evidence),release,artifact path contains a Release component,1
