container,binary_path,binary_sha256,record_kind,origin,encoding,extension,value
CosmicForge_UNICODE.rar,CFAgent.dll,47aea7af79348dfa4862ee95ebced0a1636b78dcc8f5dbd2ea3fae57fb445b75,path,embedded-string,ascii,.cpp,CFAgent.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\appcore.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\array_s.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\auxdata.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\filecore.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\oledrop2.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\oleipfrm.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\olestrm.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\viewcore.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl2.cpp
CosmicForge_UNICODE.rar,CosmicForgeU.exe,404aa27cac6bd9270cfaa8fca5958971079303f652d9bee5b6d423ce5c807c2a,path,embedded-string,utf-16le,.cpp,f:\dd\vctools\vc7libs\ship\atlmfc\src\mfc\winfrm.cpp
setup_wizardry_8_2001_12_23_(22306).exe,3DfxSpl.dll,1ee8b2b4963b95f600ac683907778304f75c559aa6831a3f203efafc8d67d45a,path,embedded-string,ascii,.cpp,..\common\GlideGraphics.cpp
setup_wizardry_8_2001_12_23_(22306).exe,3DfxSpl.dll,1ee8b2b4963b95f600ac683907778304f75c559aa6831a3f203efafc8d67d45a,path,embedded-string,ascii,.cpp,.\Main.cpp
setup_wizardry_8_2001_12_23_(22306).exe,3DfxSpl2.dll,262c70749ac24b4d3691e39767d3e01b5b4957b9b82768186e5faa58f395ceba,path,embedded-string,ascii,.cpp,..\common\GlideGraphics.cpp
