program,funcinfo,magic,handler_thunk,frame_setup,eh_setup_start,max_state,try_block_count,unwind_signature
wiz8--demo--wiz8--8acda50afe39,005fbee8,19930520,005f05c3,0041cc72,0041cc70,2,0,2|0|-1:object:-44|0:pointer:-48
wiz8--demo--wiz8--8acda50afe39,005fbf18,19930520,005f05db,0041f542,0041f540,1,0,1|0|-1:pointer:-16
wiz8--demo--wiz8--8acda50afe39,005fbf40,19930520,005f05fb,0041f5b2,0041f5b0,1,0,1|0|-1:pointer:-16
wiz8--demo--wiz8--8acda50afe39,005fbf68,19930520,005f061b,0041f688,0041f686,1,0,1|0|-1:pointer:-28
wiz8--demo--wiz8--8acda50afe39,005fbf90,19930520,005f063b,0041f942,0041f940,1,0,1|0|-1:pointer:-84
wiz8--demo--wiz8--8acda50afe39,005fbfb8,19930520,005f065b,00421062,00421060,1,0,1|0|-1:pointer:-16
wiz8--demo--wiz8--8acda50afe39,005fbfe0,19930520,005f067c,00422522,00422520,1,0,1|0|-1:object-import:-324
wiz8--demo--wiz8--8acda50afe39,005fc008,19930520,005f075f,004237e8,004237e6,15,0,15|0|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|-1:pointer:-284|11:pointer:-284|-1:pointer:-284|-1:pointer:-284
wiz8--demo--wiz8--8acda50afe39,005fc0a0,19930520,005f0791,00424295,00424293,3,0,3|0|-1:pointer:-20|-1:pointer:-20|-1:pointer:-20
wiz8--demo--wiz8--8acda50afe39,005fc0d8,19930520,005f07ab,004244e8,004244e6,1,0,1|0|-1:pointer:-84
wiz8--demo--wiz8--8acda50afe39,005fc100,19930520,005f07cb,004247c5,004247c3,1,0,1|0|-1:pointer:-32
wiz8--demo--wiz8--8acda50afe39,005fc128,19930520,005f0809,004249f2,004249f0,4,0,4|0|-1:pointer:-60|-1:pointer:-60|1:pointer:-60|-1:pointer:12
wiz8--demo--wiz8--8acda50afe39,005fc168,19930520,005f082b,00424cb2,00424cb0,1,0,1|0|-1:pointer:-16
wiz8--demo--wiz8--8acda50afe39,005fc190,19930520,005f0866,00424d92,00424d90,4,0,4|0|-1:object:-48|-1:object:-56|1:pointer:-92|1:pointer:16
wiz8--demo--wiz8--8acda50afe39,005fc1d0,19930520,005f0891,004250a2,004250a0,3,0,3|0|-1:pointer:-52|-1:pointer:44|-1:pointer:44
wiz8--demo--wiz8--8acda50afe39,005fc208,19930520,005f08b6,00425382,00425380,2,0,2|0|-1:pointer:-60|-1:pointer:24
