program,funcinfo,state,to_state,kind,frame_offset,target,import_slot,import_name,import_signature,element_destructor
wiz8--demo--wiz8--8acda50afe39,005fbee8,0,-1,object,-44,0043c090,,,,
wiz8--demo--wiz8--8acda50afe39,005fbee8,1,0,pointer,-48,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fbf18,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fbf40,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fbf68,0,-1,pointer,-28,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fbf90,0,-1,pointer,-84,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fbfb8,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fbfe0,0,-1,object-import,-324,,005f7aa8,sr.dll!??1srStringTable@@QAE@XZ,public: __thiscall srStringTable::~srStringTable(void),
wiz8--demo--wiz8--8acda50afe39,005fc008,0,-1,pointer,-284,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,1,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,2,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,3,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,4,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,5,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,6,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,7,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,8,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,9,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,10,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,11,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,12,11,pointer,-284,0042a360,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,13,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc008,14,-1,pointer,-284,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc0a0,0,-1,pointer,-20,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc0a0,1,-1,pointer,-20,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc0a0,2,-1,pointer,-20,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc0d8,0,-1,pointer,-84,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc100,0,-1,pointer,-32,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc128,0,-1,pointer,-60,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc128,1,-1,pointer,-60,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc128,2,1,pointer,-60,0042a360,,,,
wiz8--demo--wiz8--8acda50afe39,005fc128,3,-1,pointer,12,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc168,0,-1,pointer,-16,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc190,0,-1,object,-48,0048c490,,,,
wiz8--demo--wiz8--8acda50afe39,005fc190,1,-1,object,-56,00425090,,,,
wiz8--demo--wiz8--8acda50afe39,005fc190,2,1,pointer,-92,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc190,3,1,pointer,16,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc1d0,0,-1,pointer,-52,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc1d0,1,-1,pointer,44,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc1d0,2,-1,pointer,44,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc208,0,-1,pointer,-60,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc208,1,-1,pointer,24,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc238,0,-1,pointer,-20,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc260,0,-1,pointer,-40,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc260,1,-1,pointer,-36,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc260,2,-1,pointer,-36,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc260,3,-1,pointer,-36,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc2a0,0,-1,pointer-import,-16,,005f76fc,sr.dll!??1srClass@@MAE@XZ,protected: virtual __thiscall srClass::~srClass(void),
wiz8--demo--wiz8--8acda50afe39,005fc2a0,1,-1,pointer-import,-16,,005f76f8,sr.dll!??1srMaterialIFace@@UAE@XZ,public: virtual __thiscall srMaterialIFace::~srMaterialIFace(void),
wiz8--demo--wiz8--8acda50afe39,005fc2d0,0,-1,pointer-import,-16,,005f76f8,sr.dll!??1srMaterialIFace@@UAE@XZ,public: virtual __thiscall srMaterialIFace::~srMaterialIFace(void),
wiz8--demo--wiz8--8acda50afe39,005fc2d0,1,-1,pointer-import,-16,,005f76fc,sr.dll!??1srClass@@MAE@XZ,protected: virtual __thiscall srClass::~srClass(void),
wiz8--demo--wiz8--8acda50afe39,005fc300,0,-1,pointer-import,-16,,005f76fc,sr.dll!??1srClass@@MAE@XZ,protected: virtual __thiscall srClass::~srClass(void),
wiz8--demo--wiz8--8acda50afe39,005fc328,0,-1,pointer,-1160,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc350,0,-1,pointer,-1128,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc378,0,-1,pointer,-520,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc378,1,0,pointer,-524,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc378,2,0,pointer,-524,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc378,3,0,pointer,-524,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc378,4,0,pointer,-524,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,0,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,1,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,2,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,3,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,4,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,5,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,6,-1,pointer,4,005eadb0,,,,
