program,address,sources,aligned,after_boundary,prologue,verdict,size,caller_count,callee_count
wiz8--demo--wiz8--8acda50afe39,004010b0,padding,yes,yes,,padding-only,,0,0
wiz8--demo--wiz8--8acda50afe39,0040113e,data-pointer,yes,,,strong,20,0,1
wiz8--demo--wiz8--8acda50afe39,00401152,data-pointer,yes,yes,,strong,12,0,0
wiz8--demo--wiz8--8acda50afe39,0040115e,call-target,yes,,,strong,6,1,0
wiz8--demo--wiz8--8acda50afe39,00401164,call-target,yes,yes,,strong,6,0,0
wiz8--demo--wiz8--8acda50afe39,0040116a,call-target,yes,yes,,strong,21,0,1
wiz8--demo--wiz8--8acda50afe39,0040117f,call-target,yes,yes,,strong,1,0,0
wiz8--demo--wiz8--8acda50afe39,00401180,call-target,yes,yes,,strong,44,1,1
wiz8--demo--wiz8--8acda50afe39,004011ac,call-target,yes,yes,,strong,26,224,1
wiz8--demo--wiz8--8acda50afe39,004011c0,padding,yes,yes,,padding-only,,0,0
wiz8--demo--wiz8--8acda50afe39,004011c6,call-target,yes,yes,,strong,6,1,0
wiz8--demo--wiz8--8acda50afe39,004011cc,call-target,yes,yes,,strong,1188,1,39
wiz8--demo--wiz8--8acda50afe39,004011e0,padding,yes,yes,,padding-only,,0,0
wiz8--demo--wiz8--8acda50afe39,00401570,call-target padding,,yes,push-esi,decode-disagrees,,1,0
wiz8--demo--wiz8--8acda50afe39,00401670,call-target padding,yes,yes,sub-esp-imm8,strong,592,0,21
wiz8--demo--wiz8--8acda50afe39,004017f0,padding,yes,yes,,padding-only,,0,0
wiz8--demo--wiz8--8acda50afe39,0040184d,padding,,yes,,rejected,,0,0
wiz8--demo--wiz8--8acda50afe39,004018c0,call-target,yes,yes,sub-esp-imm32,strong,96,1,1
wiz8--demo--wiz8--8acda50afe39,00401920,call-target padding,yes,yes,,strong,48,23,0
wiz8--demo--wiz8--8acda50afe39,00401950,call-target padding,yes,yes,,strong,1360,1,11
wiz8--demo--wiz8--8acda50afe39,00401b30,padding,yes,yes,,padding-only,,0,0
wiz8--demo--wiz8--8acda50afe39,00401e3a,padding,,yes,,rejected,,0,0
wiz8--demo--wiz8--8acda50afe39,00401ea0,call-target padding,yes,yes,push-ebx,strong,208,1,0
wiz8--demo--wiz8--8acda50afe39,00401f64,padding,,yes,,rejected,,0,0
