program,address,section,storage,kind,reference_count,function_count,access_kinds,widths,extent_upper,extent_bytes,preview
wiz8--demo--wiz8--8acda50afe39,005f7000,.rdata,initialized,import-slot,1,1,read,4,005f7008,8,DDRAW.dll!DirectDrawCreate
wiz8--demo--wiz8--8acda50afe39,005f7008,.rdata,initialized,import-slot,1,1,read,4,005f7010,8,GDI32.dll!GetStockObject
wiz8--demo--wiz8--8acda50afe39,005f7010,.rdata,initialized,import-slot,1,1,read,4,005f7014,4,KERNEL32.dll!GetFileTime
wiz8--demo--wiz8--8acda50afe39,005f7014,.rdata,initialized,import-slot,2,2,read,4,005f7018,4,KERNEL32.dll!CompareFileTime
wiz8--demo--wiz8--8acda50afe39,005f7018,.rdata,initialized,import-slot,1,1,read,4,005f701c,4,KERNEL32.dll!GetModuleFileNameA
wiz8--demo--wiz8--8acda50afe39,005f701c,.rdata,initialized,import-slot,2,1,read,4,005f7020,4,KERNEL32.dll!GetModuleHandleA
wiz8--demo--wiz8--8acda50afe39,005f7020,.rdata,initialized,import-slot,1,0,read,4,005f7024,4,KERNEL32.dll!GetStartupInfoA
wiz8--demo--wiz8--8acda50afe39,005f7024,.rdata,initialized,import-slot,1,1,read,4,005f7028,4,KERNEL32.dll!GetPrivateProfileIntA
wiz8--demo--wiz8--8acda50afe39,005f7028,.rdata,initialized,import-slot,1,1,read,4,005f702c,4,KERNEL32.dll!GetCurrentThreadId
wiz8--demo--wiz8--8acda50afe39,005f702c,.rdata,initialized,import-slot,134,85,read,4,005f7030,4,KERNEL32.dll!GetTickCount
wiz8--demo--wiz8--8acda50afe39,005f7030,.rdata,initialized,import-slot,1,1,read,4,005f7034,4,KERNEL32.dll!OutputDebugStringA
wiz8--demo--wiz8--8acda50afe39,005f7034,.rdata,initialized,import-slot,9,7,read,4,005f7038,4,KERNEL32.dll!DeleteFileA
wiz8--demo--wiz8--8acda50afe39,005f7038,.rdata,initialized,import-slot,5,5,read,4,005f703c,4,KERNEL32.dll!GlobalMemoryStatus
wiz8--demo--wiz8--8acda50afe39,005f703c,.rdata,initialized,import-slot,6,4,read,4,005f7040,4,KERNEL32.dll!FormatMessageA
wiz8--demo--wiz8--8acda50afe39,005f7040,.rdata,initialized,import-slot,7,4,read,4,005f7044,4,KERNEL32.dll!GetLastError
wiz8--demo--wiz8--8acda50afe39,005f7044,.rdata,initialized,import-slot,6,4,read,4,005f7048,4,KERNEL32.dll!CreateFileA
wiz8--demo--wiz8--8acda50afe39,005f7048,.rdata,initialized,import-slot,7,7,read,4,005f704c,4,KERNEL32.dll!CloseHandle
wiz8--demo--wiz8--8acda50afe39,005f704c,.rdata,initialized,import-slot,14,6,read,4,005f7050,4,KERNEL32.dll!ReadFile
wiz8--demo--wiz8--8acda50afe39,005f7050,.rdata,initialized,import-slot,1,1,read,4,005f7054,4,KERNEL32.dll!WriteFile
wiz8--demo--wiz8--8acda50afe39,005f7054,.rdata,initialized,import-slot,12,5,read,4,005f7058,4,KERNEL32.dll!SetFilePointer
wiz8--demo--wiz8--8acda50afe39,005f7058,.rdata,initialized,import-slot,2,2,read,4,005f705c,4,KERNEL32.dll!GetFileSize
wiz8--demo--wiz8--8acda50afe39,005f705c,.rdata,initialized,import-slot,2,2,read,4,005f7060,4,KERNEL32.dll!FindNextFileA
wiz8--demo--wiz8--8acda50afe39,005f7060,.rdata,initialized,import-slot,3,3,read,4,005f7064,4,KERNEL32.dll!FindClose
wiz8--demo--wiz8--8acda50afe39,005f7064,.rdata,initialized,import-slot,3,3,read,4,005f7068,4,KERNEL32.dll!FindFirstFileA
wiz8--demo--wiz8--8acda50afe39,005f7068,.rdata,initialized,import-slot,2,2,read,4,005f706c,4,KERNEL32.dll!GetFileAttributesA
wiz8--demo--wiz8--8acda50afe39,005f706c,.rdata,initialized,import-slot,1,1,read,4,005f7070,4,KERNEL32.dll!CreateDirectoryA
wiz8--demo--wiz8--8acda50afe39,005f7070,.rdata,initialized,import-slot,1,1,read,4,005f7074,4,KERNEL32.dll!GetDateFormatA
wiz8--demo--wiz8--8acda50afe39,005f7074,.rdata,initialized,import-slot,1,1,read,4,005f7078,4,KERNEL32.dll!CopyFileA
wiz8--demo--wiz8--8acda50afe39,005f7078,.rdata,initialized,import-slot,1,1,read,4,005f707c,4,KERNEL32.dll!MoveFileA
wiz8--demo--wiz8--8acda50afe39,005f707c,.rdata,initialized,import-slot,1,1,read,4,005f7080,4,KERNEL32.dll!SetFileAttributesA
wiz8--demo--wiz8--8acda50afe39,005f7080,.rdata,initialized,import-slot,2,2,read,4,005f7084,4,KERNEL32.dll!FileTimeToLocalFileTime
wiz8--demo--wiz8--8acda50afe39,005f7084,.rdata,initialized,import-slot,1,1,read,4,005f7088,4,KERNEL32.dll!SetErrorMode
wiz8--demo--wiz8--8acda50afe39,005f7088,.rdata,initialized,import-slot,1,1,read,4,005f708c,4,KERNEL32.dll!FileTimeToSystemTime
wiz8--demo--wiz8--8acda50afe39,005f708c,.rdata,initialized,import-slot,2,2,read,4,005f7090,4,KERNEL32.dll!SetEnvironmentVariableA
wiz8--demo--wiz8--8acda50afe39,005f7090,.rdata,initialized,import-slot,1,1,read,4,005f7094,4,KERNEL32.dll!GetEnvironmentVariableA
wiz8--demo--wiz8--8acda50afe39,005f7094,.rdata,initialized,import-slot,3,2,read,4,005f7098,4,KERNEL32.dll!Sleep
wiz8--demo--wiz8--8acda50afe39,005f7098,.rdata,initialized,import-slot,3,2,read,4,005f709c,4,KERNEL32.dll!MapViewOfFile
wiz8--demo--wiz8--8acda50afe39,005f709c,.rdata,initialized,import-slot,3,2,read,4,005f70a0,4,KERNEL32.dll!CreateFileMappingA
wiz8--demo--wiz8--8acda50afe39,005f70a0,.rdata,initialized,import-slot,1,1,read,4,005f70a4,4,KERNEL32.dll!UnmapViewOfFile
wiz8--demo--wiz8--8acda50afe39,005f70a4,.rdata,initialized,import-slot,1,1,read,4,005f70a8,4,KERNEL32.dll!GetLocalTime
wiz8--demo--wiz8--8acda50afe39,005f70a8,.rdata,initialized,import-slot,1,1,read,4,005f70ac,4,KERNEL32.dll!GetDriveTypeA
wiz8--demo--wiz8--8acda50afe39,005f70ac,.rdata,initialized,import-slot,2,1,read,4,005f70b0,4,KERNEL32.dll!SetLastError
wiz8--demo--wiz8--8acda50afe39,005f70b0,.rdata,initialized,import-slot,1,1,read,4,005f70b4,4,KERNEL32.dll!GetLogicalDriveStringsA
wiz8--demo--wiz8--8acda50afe39,005f70b4,.rdata,initialized,import-slot,1,1,read,4,005f70b8,4,KERNEL32.dll!GetProcAddress
wiz8--demo--wiz8--8acda50afe39,005f70b8,.rdata,initialized,import-slot,1,1,read,4,005f70bc,4,KERNEL32.dll!GetDiskFreeSpaceExA
wiz8--demo--wiz8--8acda50afe39,005f70bc,.rdata,initialized,import-slot,1,1,read,4,005f70c0,4,KERNEL32.dll!GetDiskFreeSpaceA
