program,vtable,slot_index,target,kind,import_name,import_signature,adjust,thunk_target
wiz8--demo--wiz8--8acda50afe39,005f7b34,0,0040113e,local,,,,
wiz8--demo--wiz8--8acda50afe39,005f7b34,1,00401152,local,,,,
wiz8--demo--wiz8--8acda50afe39,005f7d1c,0,00421bd0,local,,,,
wiz8--demo--wiz8--8acda50afe39,005f7d30,0,00429ed0,import-thunk,sr.dll!?sGetClassName@srColorSurface@@SAPBDXZ,public: static char const * __cdecl srColorSurface::sGetClassName(void),,
wiz8--demo--wiz8--8acda50afe39,005f7d30,1,00429ec0,local,,,,
wiz8--demo--wiz8--8acda50afe39,005f7d30,2,00429ee0,local,,,,
wiz8--demo--wiz8--8acda50afe39,005f7d30,3,005eb248,import-thunk,sr.dll!?dump@srColorSurface@@UAEXAAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z,"public: virtual void __thiscall srColorSurface::dump(class std::basic_ostream<char, struct std::char_traits<char>> &)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,4,005eb2ba,import-thunk,sr.dll!?verify@srClass@@UAEXW4e_verify@srRuntimeClass@@@Z,public: virtual void __thiscall srClass::verify(enum srRuntimeClass::e_verify),,
wiz8--demo--wiz8--8acda50afe39,005f7d30,5,00424150,local,,,,
wiz8--demo--wiz8--8acda50afe39,005f7d30,6,005eb242,import-thunk,sr.dll!?vInstance@srColorSurface@@UAEPAVsrClass@@XZ,public: virtual class srClass * __thiscall srColorSurface::vInstance(void),,
wiz8--demo--wiz8--8acda50afe39,005f7d30,7,00429f50,local,,,,
wiz8--demo--wiz8--8acda50afe39,005f7d30,8,005eb23c,import-thunk,sr.dll!?getPixel@srColorSurfaceIFace@@UAEKJJ@Z,"public: virtual unsigned long __thiscall srColorSurfaceIFace::getPixel(long, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,9,005eb236,import-thunk,sr.dll!?setPixel@srColorSurfaceIFace@@UAEXJJK@Z,"public: virtual void __thiscall srColorSurfaceIFace::setPixel(long, long, unsigned long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,10,005eb230,import-thunk,sr.dll!?getPixelRaw@srColorSurface@@UAEKJJ@Z,"public: virtual unsigned long __thiscall srColorSurface::getPixelRaw(long, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,11,005eb22a,import-thunk,sr.dll!?setPixelRaw@srColorSurface@@UAEXJJK@Z,"public: virtual void __thiscall srColorSurface::setPixelRaw(long, long, unsigned long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,12,005eb224,import-thunk,sr.dll!?getPixels@srColorSurface@@UAEXPAKPBVsrVector2i@@J@Z,"public: virtual void __thiscall srColorSurface::getPixels(unsigned long *, class srVector2i const *, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,13,005eb21e,import-thunk,sr.dll!?setPixels@srColorSurface@@UAEXPBKPBVsrVector2i@@J@Z,"public: virtual void __thiscall srColorSurface::setPixels(unsigned long const *, class srVector2i const *, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,14,005eb218,import-thunk,sr.dll!?getPixelsRaw@srColorSurface@@UAEXPAXPBVsrVector2i@@J@Z,"public: virtual void __thiscall srColorSurface::getPixelsRaw(void *, class srVector2i const *, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,15,005eb212,import-thunk,sr.dll!?setPixelsRaw@srColorSurface@@UAEXPBXPBVsrVector2i@@J@Z,"public: virtual void __thiscall srColorSurface::setPixelsRaw(void const *, class srVector2i const *, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,16,005eb20c,import-thunk,sr.dll!?getPixelColumn@srColorSurface@@UAEXPAKJJJ@Z,"public: virtual void __thiscall srColorSurface::getPixelColumn(unsigned long *, long, long, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,17,005eb206,import-thunk,sr.dll!?setPixelColumn@srColorSurface@@UAEXPBKJJJ@Z,"public: virtual void __thiscall srColorSurface::setPixelColumn(unsigned long const *, long, long, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,18,005eb200,import-thunk,sr.dll!?getPalette@srColorSurface@@UAEPAVsrPalette@@XZ,public: virtual class srPalette * __thiscall srColorSurface::getPalette(void),,
wiz8--demo--wiz8--8acda50afe39,005f7d30,19,005eb1fa,import-thunk,sr.dll!?setPalette@srColorSurface@@UAEXPAVsrPalette@@@Z,public: virtual void __thiscall srColorSurface::setPalette(class srPalette *),,
wiz8--demo--wiz8--8acda50afe39,005f7d30,20,005eb1f4,import-thunk,sr.dll!?getDataPtr@srColorSurface@@UAEPAXXZ,public: virtual void * __thiscall srColorSurface::getDataPtr(void),,
wiz8--demo--wiz8--8acda50afe39,005f7d30,21,005eb1ee,import-thunk,sr.dll!?getDataSize@srColorSurface@@UAEJXZ,public: virtual long __thiscall srColorSurface::getDataSize(void),,
wiz8--demo--wiz8--8acda50afe39,005f7d30,22,005eb1e8,import-thunk,sr.dll!?resize@srColorSurface@@UAEHJJ@Z,"public: virtual int __thiscall srColorSurface::resize(long, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,23,005eb1e2,import-thunk,sr.dll!?rescale@srColorSurface@@UAEHJJ@Z,"public: virtual int __thiscall srColorSurface::rescale(long, long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,24,005eb1dc,import-thunk,sr.dll!?changePixelFormat@srColorSurface@@UAEHABUPixelFormat@srPixelConvert@@H@Z,"public: virtual int __thiscall srColorSurface::changePixelFormat(struct srPixelConvert::PixelFormat const &, int)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,25,005eb1d6,import-thunk,sr.dll!?fill@srColorSurface@@UAEXK@Z,public: virtual void __thiscall srColorSurface::fill(unsigned long),,
wiz8--demo--wiz8--8acda50afe39,005f7d30,26,005eb1d0,import-thunk,sr.dll!?setHLine@srColorSurface@@UAEXJJJK@Z,"public: virtual void __thiscall srColorSurface::setHLine(long, long, long, unsigned long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,27,005eb1ca,import-thunk,sr.dll!?setVLine@srColorSurface@@UAEXJJJK@Z,"public: virtual void __thiscall srColorSurface::setVLine(long, long, long, unsigned long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,28,005eb1c4,import-thunk,sr.dll!?setLine@srColorSurfaceIFace@@UAEXJJJJK@Z,"public: virtual void __thiscall srColorSurfaceIFace::setLine(long, long, long, long, unsigned long)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,29,005eb1be,import-thunk,sr.dll!?composite@srColorSurfaceIFace@@UAEXJJAAV1@JJJJN@Z,"public: virtual void __thiscall srColorSurfaceIFace::composite(long, long, class srColorSurfaceIFace &, long, long, long, long, double)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,30,005eb1b8,import-thunk,sr.dll!?blit@srColorSurfaceIFace@@UAEXABUBlitInfo@1@AAV1@@Z,"public: virtual void __thiscall srColorSurfaceIFace::blit(struct srColorSurfaceIFace::BlitInfo const &, class srColorSurfaceIFace &)",,
wiz8--demo--wiz8--8acda50afe39,005f7d30,31,005eb1b2,import-thunk,sr.dll!?blit@srColorSurface@@UAEXJJAAVsrColorSurfaceIFace@@JJJJ@Z,"public: virtual void __thiscall srColorSurface::blit(long, long, class srColorSurfaceIFace &, long, long, long, long)",,
