program,site,function_start,object_offset,vtable,allocation_size
wiz8--demo--wiz8--8acda50afe39,0042382f,004237e0,0x0,005f7e9c,0x14
wiz8--demo--wiz8--8acda50afe39,0042387b,004237e0,0x0,005f7e68,
wiz8--demo--wiz8--8acda50afe39,004238f2,004237e0,0x0,005f7e68,
wiz8--demo--wiz8--8acda50afe39,00423968,004237e0,0x0,005f7e68,
wiz8--demo--wiz8--8acda50afe39,004239e0,004237e0,0x0,005f7e68,
wiz8--demo--wiz8--8acda50afe39,00423a56,004237e0,0x0,005f7e68,
wiz8--demo--wiz8--8acda50afe39,00423acc,004237e0,0x0,005f7e68,
wiz8--demo--wiz8--8acda50afe39,00423b44,004237e0,0x0,005f7e68,
wiz8--demo--wiz8--8acda50afe39,00423bba,004237e0,0x0,005f7e68,
wiz8--demo--wiz8--8acda50afe39,00423c30,004237e0,0x0,005f7e34,
wiz8--demo--wiz8--8acda50afe39,00423d2f,004237e0,0x0,005f7e34,
wiz8--demo--wiz8--8acda50afe39,00423e42,004237e0,0x0,005f7e00,
wiz8--demo--wiz8--8acda50afe39,00423fcf,004237e0,0x0,005f7d30,
wiz8--demo--wiz8--8acda50afe39,0042431e,00424290,0x0,005f7d30,0x5c
wiz8--demo--wiz8--8acda50afe39,00424397,00424290,0x0,005f7d30,0x5c
wiz8--demo--wiz8--8acda50afe39,0042440d,00424290,0x0,005f7d30,0x5c
wiz8--demo--wiz8--8acda50afe39,00424658,004244e0,0x0,005f7d30,
wiz8--demo--wiz8--8acda50afe39,00424885,004247c0,0x0,005f7d30,0x5c
wiz8--demo--wiz8--8acda50afe39,00424a59,004249f0,0x0,005f7eb8,
wiz8--demo--wiz8--8acda50afe39,00424b10,004249f0,0x0,005f7e00,
wiz8--demo--wiz8--8acda50afe39,00424cf2,00424cb0,0x0,005f7f0c,0x5c
wiz8--demo--wiz8--8acda50afe39,004250f2,004250a0,0x0,005f7eb8,
wiz8--demo--wiz8--8acda50afe39,00425216,004250a0,0x0,005f7f0c,
wiz8--demo--wiz8--8acda50afe39,004253f9,00425380,0x0,005f7eb8,
wiz8--demo--wiz8--8acda50afe39,00428a15,004289d0,0x0,005f7e68,0x190
