program,address,section,kind,slot_count,boundary,vptr_write_count,store_displacements,pure_virtual_slots,adjustor_thunk_slots,import_slots,allocation_sizes
wiz8--demo--wiz8--8acda50afe39,005f7b34,.rdata,vftable,2,code-reference-boundary,0,,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f7d1c,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,0x28
wiz8--demo--wiz8--8acda50afe39,005f7d30,.rdata,vftable,52,code-reference-boundary,19,0x0,0,0,48,0x5c
wiz8--demo--wiz8--8acda50afe39,005f7e00,.rdata,vftable,13,code-reference-boundary,7,0x0,0,0,9,0x78|0x148
wiz8--demo--wiz8--8acda50afe39,005f7e34,.rdata,vftable,13,code-reference-boundary,3,0x0,0,0,8,0x188
wiz8--demo--wiz8--8acda50afe39,005f7e68,.rdata,vftable,13,code-reference-boundary,10,0x0,0,0,8,0x190
wiz8--demo--wiz8--8acda50afe39,005f7e9c,.rdata,vftable,1,code-reference-boundary,1,0x0,0,0,0,0x14
wiz8--demo--wiz8--8acda50afe39,005f7eb8,.rdata,vftable,21,code-reference-boundary,3,0x0,0,0,16,
wiz8--demo--wiz8--8acda50afe39,005f7f0c,.rdata,vftable,17,code-reference-boundary,4,0x0,0,0,12,0x5c
wiz8--demo--wiz8--8acda50afe39,005f7f88,.rdata,vftable,11,code-reference-boundary,6,0x0,4,0,3,0x78|0x7c
wiz8--demo--wiz8--8acda50afe39,005f7fb4,.rdata,vftable,8,code-reference-boundary,6,0x0,1,0,3,0x78|0x7c
wiz8--demo--wiz8--8acda50afe39,005f7fd4,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f7fd8,.rdata,vftable,1,code-reference-boundary,4,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f7ff0,.rdata,vftable,3,code-reference-boundary,6,0x0 0x138,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8000,.rdata,vftable,1,code-reference-boundary,30,0x0 0xc 0x10 0x14 0x18 0x1c 0x20 0x24 0x28 0x3c 0xd8 0xe0 0xf0 0x338 0x9b7 0x19b2,0,0,0,0x1c8
