program,module,table,class_name,enclosing_scope,subobject,table_rva,entry,displacement
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinFStream@@7B@,srBinFStream,,,0x76a60,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinFStream@@7B@,srBinFStream,,,0x76a60,1,20
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIAsyncStream@@7B@,srBinIAsyncStream,,,0x76a18,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIAsyncStream@@7B@,srBinIAsyncStream,,,0x76a18,1,32
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIFStream@@7BsrBinFStream@@@,srBinIFStream,,srBinFStream,0x76aa0,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIFStream@@7BsrBinFStream@@@,srBinIFStream,,srBinFStream,0x76aa0,1,32
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIFStream@@7BsrBinIStream@@@,srBinIFStream,,srBinIStream,0x76a98,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIFStream@@7BsrBinIStream@@@,srBinIFStream,,srBinIStream,0x76a98,1,8
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIMStream@@7B@,srBinIMStream,,,0x76b9c,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIMStream@@7B@,srBinIMStream,,,0x76b9c,1,20
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIOFStream@@7BsrBinFStream@@@,srBinIOFStream,,srBinFStream,0x76b14,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIOFStream@@7BsrBinFStream@@@,srBinIOFStream,,srBinFStream,0x76b14,1,40
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIOFStream@@7BsrBinIStream@@@,srBinIOFStream,,srBinIStream,0x76b0c,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIOFStream@@7BsrBinIStream@@@,srBinIOFStream,,srBinIStream,0x76b0c,1,16
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIOFStream@@7BsrBinOStream@@@,srBinIOFStream,,srBinOStream,0x76b04,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIOFStream@@7BsrBinOStream@@@,srBinIOFStream,,srBinOStream,0x76b04,1,8
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIStream@@7B@,srBinIStream,,,0x76aa8,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinIStream@@7B@,srBinIStream,,,0x76aa8,1,4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOFStream@@7B0@@,srBinOFStream,,srBinOFStream,0x76b68,0,0
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOFStream@@7B0@@,srBinOFStream,,srBinOFStream,0x76b68,1,8
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOFStream@@7B0@@,srBinOFStream,,srBinOFStream,0x76b68,2,28
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOFStream@@7B0@@,srBinOFStream,,srBinOFStream,0x76b68,3,36
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOFStream@@7BsrBinFStream@@@,srBinOFStream,,srBinFStream,0x76b58,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOFStream@@7BsrBinFStream@@@,srBinOFStream,,srBinFStream,0x76b58,1,-32
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOFStream@@7BsrBinOStream@@@,srBinOFStream,,srBinOStream,0x76b60,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOFStream@@7BsrBinOStream@@@,srBinOFStream,,srBinOStream,0x76b60,1,-24
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOMStream@@7B@,srBinOMStream,,,0x76bcc,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOMStream@@7B@,srBinOMStream,,,0x76bcc,1,24
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOStream@@7B@,srBinOStream,,,0x76b1c,0,-4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srBinOStream@@7B@,srBinOStream,,,0x76b1c,1,4
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srWindowOut@@7B@,srWindowOut,,,0x76e24,0,0
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_8srWindowOut@@7B@,srWindowOut,,,0x76e24,1,4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinFStream@@7B@,srBinFStream,,,0x76a60,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinFStream@@7B@,srBinFStream,,,0x76a60,1,20
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIAsyncStream@@7B@,srBinIAsyncStream,,,0x76a18,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIAsyncStream@@7B@,srBinIAsyncStream,,,0x76a18,1,32
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIFStream@@7BsrBinFStream@@@,srBinIFStream,,srBinFStream,0x76aa0,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIFStream@@7BsrBinFStream@@@,srBinIFStream,,srBinFStream,0x76aa0,1,32
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIFStream@@7BsrBinIStream@@@,srBinIFStream,,srBinIStream,0x76a98,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIFStream@@7BsrBinIStream@@@,srBinIFStream,,srBinIStream,0x76a98,1,8
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIMStream@@7B@,srBinIMStream,,,0x76b9c,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIMStream@@7B@,srBinIMStream,,,0x76b9c,1,20
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIOFStream@@7BsrBinFStream@@@,srBinIOFStream,,srBinFStream,0x76b14,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIOFStream@@7BsrBinFStream@@@,srBinIOFStream,,srBinFStream,0x76b14,1,40
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIOFStream@@7BsrBinIStream@@@,srBinIOFStream,,srBinIStream,0x76b0c,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIOFStream@@7BsrBinIStream@@@,srBinIOFStream,,srBinIStream,0x76b0c,1,16
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIOFStream@@7BsrBinOStream@@@,srBinIOFStream,,srBinOStream,0x76b04,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIOFStream@@7BsrBinOStream@@@,srBinIOFStream,,srBinOStream,0x76b04,1,8
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIStream@@7B@,srBinIStream,,,0x76aa8,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinIStream@@7B@,srBinIStream,,,0x76aa8,1,4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOFStream@@7B0@@,srBinOFStream,,srBinOFStream,0x76b68,0,0
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOFStream@@7B0@@,srBinOFStream,,srBinOFStream,0x76b68,1,8
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOFStream@@7B0@@,srBinOFStream,,srBinOFStream,0x76b68,2,28
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOFStream@@7B0@@,srBinOFStream,,srBinOFStream,0x76b68,3,36
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOFStream@@7BsrBinFStream@@@,srBinOFStream,,srBinFStream,0x76b58,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOFStream@@7BsrBinFStream@@@,srBinOFStream,,srBinFStream,0x76b58,1,-32
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOFStream@@7BsrBinOStream@@@,srBinOFStream,,srBinOStream,0x76b60,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOFStream@@7BsrBinOStream@@@,srBinOFStream,,srBinOStream,0x76b60,1,-24
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOMStream@@7B@,srBinOMStream,,,0x76bcc,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOMStream@@7B@,srBinOMStream,,,0x76bcc,1,24
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOStream@@7B@,srBinOStream,,,0x76b1c,0,-4
wiz8--gog-128--sr--fe47f633a51f,sr.dll,??_8srBinOStream@@7B@,srBinOStream,,,0x76b1c,1,4
