program,module,table,class_name,enclosing_scope,subobject,table_rva,slot,target_rva,target_name,target_signature,resolution
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7Client@srModel@@6B@,Client,srModel,,0x76cd8,0,0x3c870,,,internal
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7Client@srModel@@6B@,Client,srModel,,0x76cd8,1,0x3c3b0,?setModel@Client@srModel@@UAEXPAV2@@Z,public: virtual void __thiscall srModel::Client::setModel(class srModel *),exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7Client@srModel@@6B@,Client,srModel,,0x76cd8,2,0x3c430,?updateClient@Client@srModel@@UAEXW4e_update@12@@Z,public: virtual void __thiscall srModel::Client::updateClient(enum srModel::Client::e_update),exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7Client@srModel@@6B@,Client,srModel,,0x76cd8,3,0x3c6c0,?getModel@Client@srModel@@UBEPAV2@XZ,public: virtual class srModel * __thiscall srModel::Client::getModel(void) const,exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBSplineFilter@@6B@,srBSplineFilter,,,0x75398,0,0x37e0,,,internal
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBSplineFilter@@6B@,srBSplineFilter,,,0x75398,1,0x3770,?getName@srBSplineFilter@@UBEPBDXZ,public: virtual char const * __thiscall srBSplineFilter::getName(void) const,exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBSplineFilter@@6B@,srBSplineFilter,,,0x75398,2,0x34b0,?getWeight@srBSplineFilter@@UBENN@Z,public: virtual double __thiscall srBSplineFilter::getWeight(double) const,exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBSplineFilter@@6B@,srBSplineFilter,,,0x75398,3,0x3560,?getSupport@srBSplineFilter@@UBENXZ,public: virtual double __thiscall srBSplineFilter::getSupport(void) const,exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBellFilter@@6B@,srBellFilter,,,0x75378,0,0x3640,,,internal
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBellFilter@@6B@,srBellFilter,,,0x75378,1,0x35d0,?getName@srBellFilter@@UBEPBDXZ,public: virtual char const * __thiscall srBellFilter::getName(void) const,exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBellFilter@@6B@,srBellFilter,,,0x75378,2,0x3410,?getWeight@srBellFilter@@UBENN@Z,public: virtual double __thiscall srBellFilter::getWeight(double) const,exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBellFilter@@6B@,srBellFilter,,,0x75378,3,0x3490,?getSupport@srBellFilter@@UBENXZ,public: virtual double __thiscall srBellFilter::getSupport(void) const,exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBinFStream@@6B0@@,srBinFStream,,srBinFStream,0x76a54,0,0x2f3b0,?pseek@srBinFStream@@MAEAAVsrBinStream@@K@Z,protected: virtual class srBinStream & __thiscall srBinFStream::pseek(unsigned long),exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBinFStream@@6B0@@,srBinFStream,,srBinFStream,0x76a54,1,0x2f340,?pseek@srBinFStream@@MAEAAVsrBinStream@@KW4e_seekDir@2@@Z,"protected: virtual class srBinStream & __thiscall srBinFStream::pseek(unsigned long, enum srBinStream::e_seekDir)",exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBinFStream@@6B0@@,srBinFStream,,srBinFStream,0x76a54,2,0x2f400,?ptell@srBinFStream@@MAEKXZ,protected: virtual unsigned long __thiscall srBinFStream::ptell(void),exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBinFStream@@6BsrBinStream@@@,srBinFStream,,srBinStream,0x76a40,0,0x2f640,,,internal
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBinFStream@@6BsrBinStream@@@,srBinFStream,,srBinStream,0x76a40,1,0x32340,?getSize@srBinStream@@UAEKXZ,public: virtual unsigned long __thiscall srBinStream::getSize(void),exported
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBinFStream@@6BsrBinStream@@@,srBinFStream,,srBinStream,0x76a40,2,0x6ff14,,,internal
wiz8--demo--sr--bb5f67e6a719,sr.dll,??_7srBinFStream@@6BsrBinStream@@@,srBinFStream,,srBinStream,0x76a40,3,0x6ff14,,,internal
